id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
co2__e,CO2 CO2,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
akg__e,2-Oxoglutarate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gsn__e,Guanosine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
34dhpac__e,"3,4-Dihydroxyphenylacetaldehyde",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
anhgm__e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dms__e,Dimethyl sulfide,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
galctn____L__e,L-Galactonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
btn__e,Biotin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ocdcea__e,Octadecenoate (n-C18:1),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acmum__e,N-Acetylmuramate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
adocbl__e,Adenosylcobalamin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
novbcn__e,Novobiocin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
feenter__e,Fe-enterobactin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arbtn__e,Aerobactin minus Fe3,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gln____L__e,L-Glutamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cpgn__un__e,Coprogen unloaded (no Fe(III)),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
tre__e,Trehalose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaala__e,D-Alanyl-D-alanine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
idon____L__e,L-Idonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
pheme__e,Protoheme C34H30FeN4O4,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
all____D__e,D-Allose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ca2__e,Calcium,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
g1p__e,D-Glucose 1-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ag__e,Silver,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
no2__e,Nitrite,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ala____L__e,L-Alanine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
g6p__e,D-Glucose 6-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
mso3__e,Methanesulfonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
thrp__e,L-Threonine O-3-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
LalaLglu__e,L-alanine-L-glutamate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
mththf__c,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
metsox__R____L__e,L-methionine-R-sulfoxide,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
g3pe__e,Sn-Glycero-3-phosphoethanolamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
5drib__c,5'-deoxyribose,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
ade__e,Adenine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
mepn__e,Methylphosphonic acid,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
rmn__e,L-Rhamnose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2ddglcn__e,2-Dehydro-3-deoxy-D-gluconate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
glyb__e,Glycine betaine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
glcr__e,D-Glucarate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alltn__e,Allantoin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
f6p__e,D-Fructose 6-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cu2__e,Copper,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
zn2__e,Zinc,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ura__e,Uracil,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
lys____L__e,L-Lysine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ocdca__e,Octadecanoate (n-C18:0),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gmp__e,GMP C10H12N5O8P,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
but__e,Butyrate (n-C4:0),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cobalt2__e,Co2+,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
LalaDgluMdapDala__e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
tma__e,Trimethylamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
lyx____L__e,L-Lyxose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gtp__e,GTP C10H12N5O14P3,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cellb__e,Cellobiose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
sbt____D__e,D-Sorbitol,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arg____L__e,L-Arginine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
murein3p3p__p,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)",p,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
dgsn__e,Deoxyguanosine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
spmd__e,Spermidine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
fru__e,D-Fructose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
pyr__e,Pyruvate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
malttr__e,Maltotriose C18H32O16,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cys____D__e,D-Cysteine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
3hpppn__e,3-(3-hydroxy-phenyl)propionate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ppt__e,Phosphonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
val____L__e,L-Valine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
hom____L__e,L-Homoserine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dcmp__e,DCMP C9H12N3O7P,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dgmp__e,DGMP C10H12N5O7P,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cd2__e,Cadmium,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
met____D__e,D-Methionine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
23ccmp__e,"2',3'-Cyclic CMP",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dmso__e,Dimethyl sulfoxide,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
udpg__e,UDPglucose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acgal__e,N-Acetyl-D-galactosamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4crsol__c,P-Cresol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
thymd__e,Thymidine C10H14N2O5,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ac__e,Acetate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
k__e,Potassium,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
etoh__e,Ethanol,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
pro____L__e,L-Proline,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
taur__e,Taurine C2H7NO3S,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
xmp__e,Xanthosine 5'-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gam6p__e,D-Glucosamine 6-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
glcur1p__e,D-Glucuronate 1-phosphate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
nac__e,Nicotinate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
gal__e,D-Galactose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
dha__e,Dihydroxyacetone,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
