"id","name","compartment","is_core","is_boundary","is_external_boundary","is_internal_boundary","primary_class","boundary_subtype"
"octapb__c","Octanoate (protein bound)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cysi____L__e","L Cystine C6H12N2O4S2","e",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dhap__c","Dihydroxyacetone phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"prbatp__c","1-(5-Phosphoribosyl)-ATP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10fthf__c","10-Formyltetrahydrofolate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"btal__c","Butanal C4H8O","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"6pgg__c","6-Phospho-beta-D-glucosyl-(1,4)-D-glucose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"co2__e","CO2 CO2","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"akg__e","2-Oxoglutarate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"gsn__e","Guanosine","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"pydx5p__c","Pyridoxal 5'-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3dhgulnp__c","3-keto-L-gulonate-6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"g3ps__c","Glycerophosphoserine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"adphep__LD__c","ADP-L-glycero-D-manno-heptose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"lyx____L__c","L-Lyxose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"din__p","Deoxyinosine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2pg__c","D-Glycerate 2-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ptrc__p","Putrescine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"malt__p","Maltose C12H22O11","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pppn__p","Phenylpropanoate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"arbtn__p","Aerobactin minus Fe3","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"hphhlipa__c","Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"phphhlipa__c","Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"13dpg__c","3-Phospho-D-glyceroyl phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"murein3px4p__p","Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"34dhpac__e","3,4-Dihydroxyphenylacetaldehyde","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"1odec11eg3p__c","1-octadec-11-enoyl-sn-glycerol 3-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr181__p","1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"anhgm__e","N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"prbamp__c","1-(5-Phosphoribosyl)-AMP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dsbdrd__c","Fused thiol:disulfide interchange protein (reduced)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cu2__p","Copper","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"sla__c","Sulpholactaldehyde","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"14glucan__p","1,4-alpha-D-glucan","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"grdp__c","Geranyl diphosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ribflv__p","Riboflavin C17H20N4O6","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dms__e","Dimethyl sulfide","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"pgp141__c","Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cysi____L__c","L Cystine C6H12N2O4S2","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fpram__c","2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"f1p__c","D-Fructose 1-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dsbard__p","Periplasmic protein disulfide isomerase I (reduced)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"thr____L__c","L-Threonine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dcyt__p","Deoxycytidine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2ddglcn__c","2-Dehydro-3-deoxy-D-gluconate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fum__p","Fumarate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"galctn____L__e","L-Galactonate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"btn__e","Biotin","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"pydxn__p","Pyridoxine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ocdcea__e","Octadecenoate (n-C18:1)","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"preq0__c","7-cyano-7-carbaguanine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
