reaction,lb,ub
CYTDK2,0,1000
XPPT,0,1000
HXPRT,0,1000
NDPK5_f,0,1000
NDPK5_r,0,1000
SHK3Dr_f,0,1000
SHK3Dr_r,0,1000
NDPK6_f,0,1000
NDPK6_r,0,1000
NDPK8_f,0,1000
NDPK8_r,0,1000
DHORTS_f,0,1000
DHORTS_r,0,1000
OMPDC,0,1000
PYNP2r_f,0,1000
PYNP2r_r,0,1000
G5SD,0,1000
CS,0,1000
ICDHyr_f,0,1000
ICDHyr_r,0,1000
ALATA_L2,0,1000
DURIPP_f,0,1000
DURIPP_r,0,1000
ACALD_f,0,1000
ACALD_r,0,1000
PTRCTA,0,1000
ACS,0,1000
CYSDS,0,1000
MAN6PI_f,0,1000
MAN6PI_r,0,1000
PPA,0,1000
APRAUR,0,1000
TRPAS2_f,0,1000
TRPAS2_r,0,1000
PPCK,0,1000
ME1,0,1000
DB4PS,0,1000
ALAR_f,0,1000
ALAR_r,0,1000
RBFK,0,1000
ALATA_L_f,0,1000
ALATA_L_r,0,1000
XYLK,0,1000
RBK,0,1000
GLYK,0,1000
PPM_f,0,1000
PPM_r,0,1000
ASPTA_f,0,1000
ASPTA_r,0,1000
ACP1_FMN,0,1000
RBFSb,0,1000
NDP3,0,1000
CDPPH,0,1000
NDP7,0,1000
FBP,0,1000
EX_pi__e_f,0,1000
EX_pi__e_r,0,1000
GLGC,0,1000
ALATA_D2,0,1000
PYK,0,1000
SHCHD2,0,1000
EX_co2__e_f,0,1000
EX_co2__e_r,0,1000
A5PISO_f,0,1000
A5PISO_r,0,1000
PMDPHT,0,1000
CPPPGO,0,1000
EX_met____L__e,0,1000
GTHOr_f,0,1000
GTHOr_r,0,1000
ILETA_f,0,1000
ILETA_r,0,1000
DHORD5,0,1000
EX_metsox__S____L__e,0,1000
GLYCTO2,0,1000
VALTA_f,0,1000
VALTA_r,0,1000
GLYCTO3,0,1000
IPPMIb_f,0,1000
IPPMIb_r,0,1000
GLYCTO4,0,1000
ORPT_f,0,1000
ORPT_r,0,1000
RBFSa,0,1000
ACHBS,0,1000
PFK_3,0,1000
DHAD2,0,1000
ACLS,0,1000
TRPS2,0,1000
PSCVT_f,0,1000
PSCVT_r,0,1000
G3PD5,0,1000
G1PP,0,1000
PFL,0,1000
EX_acgam__e,0,1000
ANS,0,1000
FRD2,0,1000
FRD3,0,1000
ANPRT,0,1000
POX,0,1000
CHORM,0,1000
PTAr_f,0,1000
PTAr_r,0,1000
CHORS,0,1000
IGPS,0,1000
ACKr_f,0,1000
ACKr_r,0,1000
EX_cellb__e,0,1000
EX_crn__e,0,1000
EX_hxan__e,0,1000
EX_ile____L__e,0,1000
EX_chol__e,0,1000
EX_fe3__e_f,0,1000
EX_fe3__e_r,0,1000
LEUTAi,0,1000
EX_lac____L__e,0,1000
EX_leu____L__e,0,1000
EX_glcn__e,0,1000
EX_no3__e,0,1000
EX_h__e_f,0,1000
EX_h__e_r,0,1000
DMATT,0,1000
EX_orn__e,0,1000
GRTT,0,1000
EX_gln____L__e,0,1000
UPP3S,0,1000
EX_pro____L__e,0,1000
EX_glyc__e,0,1000
UPPDC1,0,1000
EX_man__e,0,1000
TMDPP_f,0,1000
TMDPP_r,0,1000
EX_ade__e,0,1000
EX_mn2__e_f,0,1000
EX_mn2__e_r,0,1000
EX_4abut__e,0,1000
EX_ac__e,0,1000
EX_akg__e,0,1000
EX_ala____L__e,0,1000
EX_arg____L__e,0,1000
EX_asp____L__e,0,1000
EX_pyr__e,0,1000
EX_succ__e,0,1000
EX_thymd__e,0,1000
EX_rib____D__e,0,1000
EX_tyr____L__e,0,1000
EX_cytd__e,0,1000
EX_dcyt__e,0,1000
MOAT,0,1000
EX_fum__e,0,1000
EX_sbt____D__e,0,1000
EX_glu____L__e,0,1000
UDCPDPS,0,1000
ECOAH6_f,0,1000
ECOAH6_r,0,1000
USHD,0,1000
EX_gua__e,0,1000
ENO_f,0,1000
ENO_r,0,1000
FBA_f,0,1000
FBA_r,0,1000
HCO3E_f,0,1000
HCO3E_r,0,1000
MGSA,0,1000
IMPC_f,0,1000
IMPC_r,0,1000
IMPD,0,1000
PPS,0,1000
ECOAH4_f,0,1000
ECOAH4_r,0,1000
LPADSS,0,1000
GLUTRS,0,1000
TDSK,0,1000
PGI_f,0,1000
PGI_r,0,1000
TMPPP,0,1000
EX_btn__e,0,1000
PGK_f,0,1000
PGK_r,0,1000
EX_ptrc__e,0,1000
EDA,0,1000
EX_spmd__e,0,1000
EX_thym__e,0,1000
EX_xtsn__e,0,1000
NTPP1,0,1000
URIK1,0,1000
URIK2,0,1000
NTPP2,0,1000
PGL,0,1000
NTPTP1,0,1000
NTPTP2,0,1000
CYTDK1,0,1000
RPE_f,0,1000
RPE_r,0,1000
DHQTi,0,1000
IPMD,0,1000
AIRC3_f,0,1000
AIRC3_r,0,1000
TALA_f,0,1000
TALA_r,0,1000
PUNP1_f,0,1000
PUNP1_r,0,1000
PUNP2_f,0,1000
PUNP2_r,0,1000
PUNP3_f,0,1000
PUNP3_r,0,1000
ADSL2r_f,0,1000
ADSL2r_r,0,1000
TKT1_f,0,1000
TKT1_r,0,1000
EX_fe2__e_f,0,1000
EX_fe2__e_r,0,1000
PUNP5_f,0,1000
PUNP5_r,0,1000
PUNP6_f,0,1000
PUNP6_r,0,1000
PUNP7_f,0,1000
PUNP7_r,0,1000
G6PDA,0,1000
RNDR1,0,1000
ALCD2x_f,0,1000
ALCD2x_r,0,1000
RNDR3,0,1000
RNDR4,0,1000
ALDD2y,0,1000
TMDS,0,1000
RMI_f,0,1000
RMI_r,0,1000
TMDK1,0,1000
LYSAM_f,0,1000
LYSAM_r,0,1000
PPCDC,0,1000
FTHFD,0,1000
EX_glc____D__e_f,0,1000
EX_glc____D__e_r,0,10
DHAD1,0,1000
IPPMIa_f,0,1000
IPPMIa_r,0,1000
EX_alltn__e,0,1000
G3PD7,0,1000
EDD,0,1000
EX_ura__e,0,1000
NADH9,0,1000
EX_val____L__e,0,1000
NADH10,0,1000
ADK4_f,0,1000
ADK4_r,0,1000
INSK,0,1000
MDH_f,0,1000
MDH_r,0,1000
ABTA,0,1000
EX_xan__e,0,1000
FUM_f,0,1000
FUM_r,0,1000
FMNAT,0,1000
PYDXNK,0,1000
PYAM5PO,0,1000
SSALx,0,1000
ASPT,0,1000
OHPBAT_f,0,1000
OHPBAT_r,0,1000
SERD_L,0,1000
EX_dgsn__e,0,1000
NADDP,0,1000
EX_arab____L__e,0,1000
EX_fru__e,0,1000
THRD,0,1000
HEX4,0,1000
EX_gal__e,0,1000
NMNAT,0,1000
EX_xyl____D__e,0,1000
KARA1_f,0,1000
KARA1_r,0,1000
HMPK1,0,1000
KARA2_f,0,1000
KARA2_r,0,1000
EX_duri__e,0,1000
EX_for__e,0,1000
EX_gly__e,0,1000
EX_h2__e,0,1000
EX_lys____L__e,0,1000
ACCOAC,0,1000
NADK,0,1000
GLXCL,0,1000
ICHORS_copy2_f,0,1000
ICHORS_copy2_r,0,1000
SUCBZS,0,1000
DHBD_f,0,1000
DHBD_r,0,1000
ICHORT,0,1000
EX_ser____L__e,0,1000
EX_thm__e,0,1000
EX_trp____L__e,0,1000
GLUTRR,0,1000
GLCS1,0,1000
GLCP,0,1000
EX_din__e,0,1000
RBK_L1,0,1000
RBP4E_f,0,1000
RBP4E_r,0,1000
TARTD,0,1000
NTD2,0,1000
GLCRAL,0,1000
NTD4,0,1000
NTD5,0,1000
EX_fmn__e,0,1000
EX_gthox__e,0,1000
KAS14,0,1000
HEMEOS,0,1000
ADMDC,0,1000
AGMT,0,1000
NTD6,0,1000
LGTHL,0,1000
PYDXPP,0,1000
PDXPP,0,1000
ARGDC,0,1000
HACD6_f,0,1000
HACD6_r,0,1000
ECOAH1_f,0,1000
ECOAH1_r,0,1000
ECOAH2_f,0,1000
ECOAH2_r,0,1000
ARGSS,0,1000
AGPR_f,0,1000
AGPR_r,0,1000
SPMS,0,1000
G1SAT_f,0,1000
G1SAT_r,0,1000
KDOCT2,0,1000
ECOAH3_f,0,1000
ECOAH3_r,0,1000
UGLT_f,0,1000
UGLT_r,0,1000
EDTXS1,0,1000
DXPS,0,1000
OAADC,0,1000
MNNH,0,1000
CDPMEK,0,1000
EDTXS2,0,1000
ALTRH,0,1000
MECDPS,0,1000
GUI1_f,0,1000
GUI1_r,0,1000
EDTXS3,0,1000
PGAMT_f,0,1000
PGAMT_r,0,1000
DDGLK,0,1000
EDTXS4,0,1000
XYLI2_f,0,1000
XYLI2_r,0,1000
PMANM_f,0,1000
PMANM_r,0,1000
ICL,0,1000
UAGDP,0,1000
UAGCVT,0,1000
GLUR_f,0,1000
GLUR_r,0,1000
EX_tmao__e,0,1000
UAG2E_f,0,1000
UAG2E_r,0,1000
EX_acald__e,0,1000
GLYCL,0,1000
CMPN,0,1000
NNDPR,0,1000
HCYSMT,0,1000
EX_melib__e,0,1000
MACPD,0,1000
DMQMT,0,1000
UDPG4E_f,0,1000
UDPG4E_r,0,1000
LACZ,0,1000
TRE6PH,0,1000
XYLI1_f,0,1000
XYLI1_r,0,1000
PPC,0,1000
ICHORS_copy1,0,1000
EX_sucr__e,0,1000
ALDD4,0,1000
HACD4_f,0,1000
HACD4_r,0,1000
G3PT,0,1000
CINNDO,0,1000
DHPPD,0,1000
EX_tre__e,0,1000
EX_zn2__e_f,0,1000
EX_zn2__e_r,0,1000
HACD5_f,0,1000
HACD5_r,0,1000
DHCIND,0,1000
HACD7_f,0,1000
HACD7_r,0,1000
CITL,0,1000
GOFUCR,0,1000
PYDXK,0,1000
DNMPPA,0,1000
HPPK2,0,1000
PTPATi,0,1000
HEX7,0,1000
DXPRIi,0,1000
GTPCII2,0,1000
URIC,0,1000
SADT2,0,1000
OPHBDC,0,1000
AACPS1,0,1000
OHPHM,0,1000
GHMT2r_f,0,1000
GHMT2r_r,0,1000
DHORD2,0,1000
LCARS_f,0,1000
LCARS_r,0,1000
ALCD19_f,0,1000
ALCD19_r,0,1000
RMPA_f,0,1000
RMPA_r,0,1000
SBTPD_f,0,1000
SBTPD_r,0,1000
PFK_2,0,1000
GLTPD_f,0,1000
GLTPD_r,0,1000
EX_hdcea__e,0,1000
ACACCT,0,1000
SDPDS,0,1000
BUTCT,0,1000
TGBPA_f,0,1000
TGBPA_r,0,1000
MANAO_f,0,1000
MANAO_r,0,1000
TAGURr_f,0,1000
TAGURr_r,0,1000
DMSOR1,0,1000
PGLYCP,0,1000
2DGULRx,0,1000
DKGLCNR2y,0,1000
G1PTT,0,1000
TDPGDH,0,1000
ADCS,0,1000
ADCL,0,1000
2DGULRy,0,1000
DHAPT,0,1000
EX_lac____D__e,0,1000
UDPGALM,0,1000
TDPDRE,0,1000
TDPDRR,0,1000
UMPK_f,0,1000
UMPK_r,0,1000
RZ5PP,0,1000
DDPGALA_f,0,1000
DDPGALA_r,0,1000
DURIK1,0,1000
G3PD6,0,1000
ALLTN,0,1000
UAPGR,0,1000
UPPRT,0,1000
NTD9,0,1000
CTPS2,0,1000
NTD1,0,1000
NTD7,0,1000
PAPPT3,0,1000
UAGPT3,0,1000
NDPK7_f,0,1000
NDPK7_r,0,1000
AOBUTDs,0,1000
GLYAT_f,0,1000
GLYAT_r,0,1000
ADNUC,0,1000
GMHEPPA,0,1000
S7PI,0,1000
TRPS3,0,1000
EX_ttdcea__e,0,1000
F6PA_f,0,1000
F6PA_r,0,1000
AGMHE,0,1000
CRNBTCT_f,0,1000
CRNBTCT_r,0,1000
CRNCBCT_f,0,1000
CRNCBCT_r,0,1000
NTD10,0,1000
CRNCDH_f,0,1000
CRNCDH_r,0,1000
GMHEPAT,0,1000
EX_h2s__e,0,1000
ADPT,0,1000
EX_gthrd__e,0,1000
IDOND_f,0,1000
IDOND_r,0,1000
IDOND2,0,1000
FADRx,0,1000
GTPDPK,0,1000
NADN,0,1000
GLYCLTDx,0,1000
ADK1_f,0,1000
ADK1_r,0,1000
NDPK2_f,0,1000
NDPK2_r,0,1000
NDPK3_f,0,1000
NDPK3_r,0,1000
HPYRRy,0,1000
NDPK4_f,0,1000
NDPK4_r,0,1000
ACODA,0,1000
ADA,0,1000
DADA,0,1000
ADD,0,1000
FCLT,0,1000
HBZOPT,0,1000
PNTK,0,1000
ADSS,0,1000
AGDC,0,1000
OCTDPS,0,1000
ASNN,0,1000
DPCOAK,0,1000
HETZK,0,1000
ASNS2,0,1000
ASPCT,0,1000
KDOPS,0,1000
KDOPP,0,1000
DMPPS,0,1000
EX_26dap____M__e,0,1000
MCOATA_f,0,1000
MCOATA_r,0,1000
IPDPS,0,1000
AST,0,1000
SGDS,0,1000
CYNTAH,0,1000
