reaction,FBAmodel,background_conc,system_volume
EX_pi__e_f,iML1515,1000,1
EX_pi__e_r,iML1515,1000,1
EX_co2__e_f,iML1515,1000,1
EX_co2__e_r,iML1515,1000,1
EX_met____L__e_f,iML1515,1000,1
EX_metsox__S____L__e_f,iML1515,1000,1
EX_acgam__e_f,iML1515,1000,1
EX_cellb__e_f,iML1515,1000,1
EX_crn__e_f,iML1515,1000,1
EX_hxan__e_f,iML1515,1000,1
EX_ile____L__e_f,iML1515,1000,1
EX_chol__e_f,iML1515,1000,1
EX_fe3__e_f,iML1515,1000,1
EX_fe3__e_r,iML1515,1000,1
EX_lac____L__e_f,iML1515,1000,1
EX_leu____L__e_f,iML1515,1000,1
EX_glcn__e_f,iML1515,1000,1
EX_no3__e_f,iML1515,1000,1
EX_h__e_f,iML1515,1000,1
EX_h__e_r,iML1515,1000,1
EX_orn__e_f,iML1515,1000,1
EX_gln____L__e_f,iML1515,1000,1
EX_pro____L__e_f,iML1515,1000,1
EX_glyc__e_f,iML1515,1000,1
EX_man__e_f,iML1515,1000,1
EX_ade__e_f,iML1515,1000,1
EX_mn2__e_f,iML1515,1000,1
EX_mn2__e_r,iML1515,1000,1
EX_4abut__e_f,iML1515,1000,1
EX_ac__e_f,iML1515,1000,1
EX_akg__e_f,iML1515,1000,1
EX_ala____L__e_f,iML1515,1000,1
EX_arg____L__e_f,iML1515,1000,1
EX_asp____L__e_f,iML1515,1000,1
EX_pyr__e_f,iML1515,1000,1
EX_succ__e_f,iML1515,1000,1
EX_thymd__e_f,iML1515,1000,1
EX_rib____D__e_f,iML1515,1000,1
EX_tyr____L__e_f,iML1515,1000,1
EX_cytd__e_f,iML1515,1000,1
EX_dcyt__e_f,iML1515,1000,1
EX_fum__e_f,iML1515,1000,1
EX_sbt____D__e_f,iML1515,1000,1
EX_glu____L__e_f,iML1515,1000,1
EX_gua__e_f,iML1515,1000,1
EX_btn__e_f,iML1515,1000,1
EX_ptrc__e_f,iML1515,1000,1
EX_spmd__e_f,iML1515,1000,1
EX_thym__e_f,iML1515,1000,1
EX_xtsn__e_f,iML1515,1000,1
EX_fe2__e_f,iML1515,1000,1
EX_fe2__e_r,iML1515,1000,1
EX_glc____D__e_f,iML1515,1000,1
EX_glc____D__e_r,iML1515,1000,1
EX_alltn__e_f,iML1515,1000,1
EX_ura__e_f,iML1515,1000,1
EX_val____L__e_f,iML1515,1000,1
EX_xan__e_f,iML1515,1000,1
EX_dgsn__e_f,iML1515,1000,1
EX_arab____L__e_f,iML1515,1000,1
EX_fru__e_f,iML1515,1000,1
EX_gal__e_f,iML1515,1000,1
EX_xyl____D__e_f,iML1515,1000,1
