reaction,FBAmodel,background_conc,system_volume
DM_2HYMEPH_f,Clostridium_butyricum_DSM_10702,1000,1
DM_2obut_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_4HBA_f,Clostridium_butyricum_DSM_10702,1000,1
DM_5DRIB_f,Clostridium_butyricum_DSM_10702,1000,1
DM_5MTR_f,Clostridium_butyricum_DSM_10702,1000,1
DM_GCALD_f,Clostridium_butyricum_DSM_10702,1000,1
DM_HQN_f,Clostridium_butyricum_DSM_10702,1000,1
DM_btn_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpn140_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpn160_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpn180_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpnai15_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpnai17_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpni15_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpni16_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_clpni17_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_dad_5_f,Clostridium_butyricum_DSM_10702,1000,1
DM_dhptd_c_f,Clostridium_butyricum_DSM_10702,1000,1
DM_dhptd_c_r,Clostridium_butyricum_DSM_10702,1000,1
DM_teich__45__BS_c_f,Clostridium_butyricum_DSM_10702,1000,1
EX_12dgr180_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_12dgr180_e_r,Clostridium_butyricum_DSM_10702,0.1,1
EX_13ppd_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_13ppd_e_r,Clostridium_butyricum_DSM_10702,1000,1
EX_15dap_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_15dap_e_r,Clostridium_butyricum_DSM_10702,1000,1
EX_26dap__M_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_26dap__M_e_r,Clostridium_butyricum_DSM_10702,0.1,1
EX_2obut_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_2obut_e_r,Clostridium_butyricum_DSM_10702,0.1,1
EX_Lcyst_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_Lcyst_e_r,Clostridium_butyricum_DSM_10702,1000,1
EX_Tyr__ggn_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_Tyr__ggn_e_r,Clostridium_butyricum_DSM_10702,1000,1
EX_acald_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_acald_e_r,Clostridium_butyricum_DSM_10702,1000,1
