reaction,FBAmodel,background_conc,system_volume
EX_ac_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_ac_e_r,Clostridium_butyricum_DSM_10702,0.1,1
EX_but_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_but_e_r,Clostridium_butyricum_DSM_10702,1000,1
EX_for_e_f,Clostridium_butyricum_DSM_10702,1000,1
EX_for_e_r,Clostridium_butyricum_DSM_10702,0.1,1
EX_ac_e_f,Escherichia_coli_SE11,1000,1
EX_ac_e_r,Escherichia_coli_SE11,0.1,1
EX_for_e_f,Escherichia_coli_SE11,1000,1
EX_for_e_r,Escherichia_coli_SE11,0.1,1
EX_ppa_e_f,Escherichia_coli_SE11,1000,1
EX_ppa_e_r,Escherichia_coli_SE11,1000,1
