id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
2hymeph_c,2-(Hydroxymethyl)phenol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
4abut_e,4-Aminobutanoate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4hba_c,4-Hydroxy-benzyl alcohol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
MGlcn104_e,mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn104__rl_e,released mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105_e,mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105__rl_e,released mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106_e,mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106__rl_e,released mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107_e,mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107__rl_e,released mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn108_e,mucin-type O-glycan No 108,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn108__rl_e,released mucin-type O-glycan No 108,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109_e,mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109__rl_e,released mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn10_e,mucin-type O-glycan No 10,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn10__rl_e,released mucin-type O-glycan No 10,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
