"id","name","compartment","is_core","is_boundary","is_external_boundary","is_internal_boundary","primary_class","boundary_subtype"
"10fthf5glu_c","10-formyltetrahydrofolate-[Glu](5)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10fthf_c","10-Formyltetrahydrofolate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3hddcaACP_c","10-methyl-3-hydroxy-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3hundecACP_c","10-methyl-3-hydroxy-undecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3oddcaACP_c","10-methyl-3-oxo-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3oundecACP_c","10-methyl-3-oxo-undecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11m3hddcaACP_c","11-methyl-3-hydroxy-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11m3oddcaACP_c","11-methyl-3-oxo-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3hmyrsACP_c","12-methyl-3-hydroxy-tetra-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3htridecACP_c","12-methyl-3-hydroxy-tridecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3omyrsACP_c","12-methyl-3-oxo-tetra-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3otridecACP_c","12-methyl-3-oxo-tridecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12ppd__S_c","(S)-propane-1,2-diol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"13dpg_c","3-Phospho-D-glyceroyl phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"13m3hmyrsACP_c","13-methyl-3-hydroxy-tetra-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"13m3omyrsACP_c","13-methyl-3-oxo-tetra-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"14m3hpalmACP_c","14-methyl-3-hydroxy-hexa-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"14m3hpentdecACP_c","14-methyl-3-hydroxy-pentadecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"14m3opalmACP_c","14-methyl-3-oxo-hexa-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"14m3opentdecACP_c","14-methyl-3-oxo-pentadecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"15m3hpalmACP_c","15-methyl-3-hydroxy-hexa-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"15m3opalmACP_c","15-methyl-3-oxo-hexa-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe120_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe140_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe141_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe160_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe161_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe180_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe181_c","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
