"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"23DHMPO","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","23dhmp_c + nadp_c <=> 3h3mop_c + h_c + nadph_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","( 206672.9.peg.1270 and 206672.9.peg.1272 )",TRUE
"23PDE2","2,3-Cyclic UMP 3-nucleotidohydrolase","23cump_c + h2o_c --> 3ump_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","206672.9.peg.27",TRUE
"23PDE4","2,3-Cyclic CMP 3-nucleotidohydrolase","23ccmp_c + h2o_c --> 3cmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","206672.9.peg.27",TRUE
"23PDE7","2,3-Cyclic AMP 3-nucleotidohydrolase","23camp_c + h2o_c --> 3amp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","206672.9.peg.27",TRUE
"23PDE9","2,3-Cyclic GMP 3-nucleotidohydrolase","23cgmp_c + h2o_c --> 3gmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","206672.9.peg.27",TRUE
"2AHBUTI","(S)-2-Aceto-2-hydroxybutanoate isomerase","2ahbut_c <=> 3h3mop_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","( 206672.9.peg.1270 and 206672.9.peg.1272 )",TRUE
"3MOBS","3-methyl-2-oxobutanoate synthase","3c3hmp_c + coa_c + h_c <=> 3mob_c + accoa_c + h2o_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","206672.9.peg.1232",TRUE
"3OAR100","3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)","3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","206672.9.peg.1252",TRUE
"3OAR10M11","10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase","10m3oundecACP_c + h_c + nadph_c <=> 10m3hundecACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","206672.9.peg.1252",TRUE
"3OAR10M12","10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase","10m3oddcaACP_c + h_c + nadph_c <=> 10m3hddcaACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","206672.9.peg.1252",TRUE
