"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"23DHMPO","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","23dhmp_c + nadp_c <=> 3h3mop_c + h_c + nadph_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","g.29565.CDS.865",TRUE
"26DAPLLAT","L,L-diaminopimelate aminotransferase","26dap__LL_c + akg_c <=> glu__L_c + h2o_c + h_c + thdp_c",-1000,1000,0,"Lysine metabolism","core","internal","g.29565.CDS.4254",TRUE
"26DAPt2r","meso-2,6-Diaminoheptanedioate transport via proton symport, reversible","26dap__M_e + h_e <=> 26dap__M_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"2AHBUTI","(S)-2-Aceto-2-hydroxybutanoate isomerase","2ahbut_c <=> 3h3mop_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","g.29565.CDS.865",TRUE
"2INSD","2-Inosose dehydratase","2ins_c --> dkdi_c + h2o_c",0,1000,0,"Inositol phosphate metabolism","core","internal","( g.29565.CDS.1423 or g.29565.CDS.5697 or g.29565.CDS.5461 or g.29565.CDS.1074 or g.29565.CDS.2716 or g.29565.CDS.2582 )",TRUE
"2MBCOATA","2-methylbutanoyl-CoA[acyl-carrier-protein] transferase","2mbcoa_c + ACP_c <=> 2mbutACP_c + coa_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","( g.29565.CDS.99 or g.29565.CDS.4680 or g.29565.CDS.175 or g.29565.CDS.989 or g.29565.CDS.843 or g.29565.CDS.550 )",TRUE
"3BTCOAI","Vinylacetyl-CoA delta3-delta2-isomerase","3btcoa_c <=> b2coa_c",-1000,1000,0,"Butanoate metabolism","core","internal","g.29565.CDS.1379",TRUE
"3HAD10M12","10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","10m3hddcaACP_c --> 10mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD11M12","11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","11m3hddcaACP_c --> 11mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD12M14","12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","12m3hmyrsACP_c --> 12mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD13M14","13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","13m3hmyrsACP_c --> 13mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD14M16","14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","14m3hpalmACP_c --> 14mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD15M16","15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","15m3hpalmACP_c --> 15mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD4M6","4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase","4m3hhexACP_c --> 4mthex2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD5M6","5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase","5m3hhexACP_c --> 5mthex2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD6M8","6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase","6m3hocACP_c --> 6mtoct2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD7M8","7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase","7m3hocACP_c --> 7mtoct2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD8M10","8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase","8m3hdcaACP_c --> 8mtdec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HAD9M10","9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase","9m3hdcaACP_c --> 9mtdec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","",FALSE
"3HBCD","3-hydroxybutyryl-CoA dehydratase","4hbutcoa_c <=> 3btcoa_c + h2o_c",-1000,1000,0,"Butanoate metabolism","core","internal","g.29565.CDS.1379",TRUE
"3MOBS","3-methyl-2-oxobutanoate synthase","3c3hmp_c + coa_c + h_c <=> 3mob_c + accoa_c + h2o_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","g.29565.CDS.985",TRUE
"3OAR100","3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)","3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","( g.29565.CDS.4296 or g.29565.CDS.4505 or g.29565.CDS.5465 or g.29565.CDS.5552 or g.29565.CDS.5031 or g.29565.CDS.1675 or g.29565.CDS.4562 or g.29565.CDS.77 or g.29565.CDS.137 or g.29565.CDS.5463 or g.29565.CDS.4021 )",TRUE
"3OAR10M11","10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase","10m3oundecACP_c + h_c + nadph_c <=> 10m3hundecACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","( g.29565.CDS.4296 or g.29565.CDS.4505 or g.29565.CDS.5465 or g.29565.CDS.5552 or g.29565.CDS.5031 or g.29565.CDS.1675 or g.29565.CDS.4562 or g.29565.CDS.77 or g.29565.CDS.137 or g.29565.CDS.5463 or g.29565.CDS.4021 )",TRUE
"3OAR10M12","10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase","10m3oddcaACP_c + h_c + nadph_c <=> 10m3hddcaACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","( g.29565.CDS.4296 or g.29565.CDS.4505 or g.29565.CDS.5465 or g.29565.CDS.5552 or g.29565.CDS.5031 or g.29565.CDS.1675 or g.29565.CDS.4562 or g.29565.CDS.77 or g.29565.CDS.137 or g.29565.CDS.5463 or g.29565.CDS.4021 )",TRUE
"3OAR11M12","11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase","11m3oddcaACP_c + h_c + nadph_c <=> 11m3hddcaACP_c + nadp_c",-1000,1000,0,"Fatty acid synthesis","core","internal","( g.29565.CDS.4296 or g.29565.CDS.4505 or g.29565.CDS.5465 or g.29565.CDS.5552 or g.29565.CDS.5031 or g.29565.CDS.1675 or g.29565.CDS.4562 or g.29565.CDS.77 or g.29565.CDS.137 or g.29565.CDS.5463 or g.29565.CDS.4021 )",TRUE
