id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
12dgr180_e,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
13ppd_e,"Propane-1,3-diol",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
15dap_e,"1,5-Diaminopentane",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
26dap__M_e,"meso-2,6-Diaminoheptanedioate",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2hymeph_c,2-(Hydroxymethyl)phenol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
2obut_c,2-Oxobutanoate,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
2obut_e,2-Oxobutanoate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4hba_c,4-Hydroxy-benzyl alcohol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
5drib_c,5-deoxyribose,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
5mtr_c,5-Methylthio-D-ribose,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
Lcyst_e,L-cysteate(1-),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
PGPm1_c,Peptidoglycan polymer (n-1 subunits),c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
Tyr__ggn_e,Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ac_e,acetate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acald_e,acetaldehyde,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
acgam_e,N-acetyl-D-glucosamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ade_e,Adenine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
adn_e,Adenosine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
adocbl_e,Adenosylcobalamin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ala__D_e,D-alanine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ala__L_e,L-alanine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaasp_e,L-alanyl-L-aspartate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alagln_e,L-alanyl-L-glutamine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaglu_e,L-alanyl-L-glutamate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alagly_e,L-alanylglycine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alahis_e,L-alanyl-L-histidine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alaleu_e,L-alanyl-L-leucine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alathr_e,L-alanyl-L-threonine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
alltn_e,Allantoin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arab__L_e,L-arabinose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arbt_e,Arbutin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
arg__L_e,L-argininium(1+),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
asn__L_e,L-asparagine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
asp__L_e,L-aspartate(1-),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
biomass_c,Produced biomass,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
btn_c,Biotin,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
btn_e,Biotin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
but_e,butyrate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
butso3_e,butanesulfonate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
ca2_e,calcium(2+),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cbl1_e,Cob(I)alamin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cbl2_e,Cob(II)alamin,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cd2_e,Cadmium,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cellb_e,cellobiose,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cgly_e,L-cysteinylglycine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
cl_e,Chloride,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
clpn140_c,"cardiolipin (tetratetradecanoyl, n-C14:0)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
clpn160_c,"cardiolipin (tetrahexadecanoyl, n-C16:0)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
clpn180_c,"cardiolipin (tetraoctadecanoyl, n-C18:0)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
clpnai15_c,"cardiolipin (12-methyl-tetradecanoyl, anteiso-C15)",c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
