"id","name","compartment","is_core","is_boundary","is_external_boundary","is_internal_boundary","primary_class","boundary_subtype"
"10fthf5glu_c","10-formyltetrahydrofolate-[Glu](5)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10fthf_c","10-Formyltetrahydrofolate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3hddcaACP_c","10-methyl-3-hydroxy-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3hundecACP_c","10-methyl-3-hydroxy-undecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3oddcaACP_c","10-methyl-3-oxo-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10m3oundecACP_c","10-methyl-3-oxo-undecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10mddcaACP_c","10-methyl-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10mtddec2eACP_c","10-methyl-trans-dodec-2-enoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"10mundecACP_c","10-methyl-undecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11m3hddcaACP_c","11-methyl-3-hydroxy-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11m3oddcaACP_c","11-methyl-3-oxo-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11mddcaACP_c","11-methyl-dodecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"11mtddec2eACP_c","11-methyl-trans-dodec-2-enoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12daihdglyc_c","1,2-Dianteisoheptadecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12daipdglyc_c","1,2-Dianteisopentadecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr120_c","1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr140_c","1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr141_c","1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr160_c","1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr161_c","1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr180_c","1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dgr180_e","1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"12dgr181_c","1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dihdglyc_c","1,2-Diisoheptadecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dipdglyc_c","1,2-Diisopentadecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12ditdglyc_c","1,2-Diisotetradecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12dixdglyc_c","1,2-Diisohexadecanoyl-sn-glycerol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3hmyrsACP_c","12-methyl-3-hydroxy-tetra-decanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12m3htridecACP_c","12-methyl-3-hydroxy-tridecanoyl-ACP","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
