id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
12dhchol_e,12-Dehydrocholate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2hymeph_c,2-(Hydroxymethyl)phenol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
MGlcn100_e,mucin-type O-glycan No 100,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn100__rl_e,released mucin-type O-glycan No 100,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn101_e,mucin-type O-glycan No 101,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn101__rl_e,released mucin-type O-glycan No 101,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn102_e,mucin-type O-glycan No 102,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn102__rl_e,released mucin-type O-glycan No 102,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn103_e,mucin-type O-glycan No 103,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn103__rl_e,released mucin-type O-glycan No 103,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn104_e,mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn104__rl_e,released mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105_e,mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105__rl_e,released mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106_e,mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106__rl_e,released mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107_e,mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107__rl_e,released mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn108_e,mucin-type O-glycan No 108,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn108__rl_e,released mucin-type O-glycan No 108,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109_e,mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109__rl_e,released mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn10_e,mucin-type O-glycan No 10,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn10__rl_e,released mucin-type O-glycan No 10,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn110_e,mucin-type O-glycan No 110,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn110__rl_e,released mucin-type O-glycan No 110,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn111_e,mucin-type O-glycan No 111,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn111__rl_e,released mucin-type O-glycan No 111,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn112_e,mucin-type O-glycan No 112,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn112__rl_e,released mucin-type O-glycan No 112,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn113_e,mucin-type O-glycan No 113,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn113__rl_e,released mucin-type O-glycan No 113,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn114_e,mucin-type O-glycan No 114,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn114__rl_e,released mucin-type O-glycan No 114,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn115_e,mucin-type O-glycan No 115,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn115__rl_e,released mucin-type O-glycan No 115,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn116_e,mucin-type O-glycan No 116,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn116__rl_e,released mucin-type O-glycan No 116,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn117_e,mucin-type O-glycan No 117,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn117__rl_e,released mucin-type O-glycan No 117,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn118_e,mucin-type O-glycan No 118,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn118__rl_e,released mucin-type O-glycan No 118,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn119_e,mucin-type O-glycan No 119,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn119__rl_e,released mucin-type O-glycan No 119,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn120_e,mucin-type O-glycan No 120,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn120__rl_e,released mucin-type O-glycan No 120,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn121_e,mucin-type O-glycan No 121,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn121__rl_e,released mucin-type O-glycan No 121,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn122_e,mucin-type O-glycan No 122,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn122__rl_e,released mucin-type O-glycan No 122,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn123_e,mucin-type O-glycan No 123,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn123__rl_e,released mucin-type O-glycan No 123,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn124_e,mucin-type O-glycan No 124,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn124__rl_e,released mucin-type O-glycan No 124,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn126_e,mucin-type O-glycan No 126,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn126__rl_e,released mucin-type O-glycan No 126,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn127_e,mucin-type O-glycan No 127,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn127__rl_e,released mucin-type O-glycan No 127,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn128_e,mucin-type O-glycan No 128,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn128__rl_e,released mucin-type O-glycan No 128,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn129_e,mucin-type O-glycan No 129,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn129__rl_e,released mucin-type O-glycan No 129,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn12_e,mucin-type O-glycan No 12,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn12__rl_e,released mucin-type O-glycan No 12,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn130_e,mucin-type O-glycan No 130,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn130__rl_e,released mucin-type O-glycan No 130,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn131_e,mucin-type O-glycan No 131,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn131__rl_e,released mucin-type O-glycan No 131,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn132_e,mucin-type O-glycan No 132,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn132__rl_e,released mucin-type O-glycan No 132,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn133_e,mucin-type O-glycan No 133,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn133__rl_e,released mucin-type O-glycan No 133,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn134_e,mucin-type O-glycan No 134,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn134__rl_e,released mucin-type O-glycan No 134,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
