id,name,compartment,is_core,is_boundary,is_external_boundary,is_internal_boundary,primary_class,boundary_subtype
12ppd__S_e,"(S)-propane-1,2-diol",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
15dap_e,"1,5-Diaminopentane",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2ddglcn_e,2-Dehydro-3-deoxy-D-gluconate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
2hyoxplac_e,2-Hydroxyphenylacetate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
34dhpha_e,"(3,4-dihydroxyphenyl)acetate",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
3hphac_e,3-Hydroxyphenylacetate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
3hpppn_e,3-(3-hydroxy-phenyl)propionate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4abut_e,4-Aminobutanoate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4hba_c,4-Hydroxy-benzyl alcohol,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
4hbz_e,4-hydroxybenzoate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
4hoxpacd_e,(4-hydroxyphenyl)acetaldehyde,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
5drib_c,5-deoxyribose,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
5mta_e,5-Methylthioadenosine,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
5mtr_c,5-Methylthio-D-ribose,c,TRUE,TRUE,FALSE,TRUE,core_and_boundary,internal_only
7dhcdchol_e,7-Dehydrochenodeoxycholate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
7ocholate_e,"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
C02528_e,chenodeoxycholate,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
Lcyst_e,L-cysteate(1-),e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn100_e,mucin-type O-glycan No 100,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn100__rl_e,released mucin-type O-glycan No 100,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn101_e,mucin-type O-glycan No 101,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn101__rl_e,released mucin-type O-glycan No 101,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn102_e,mucin-type O-glycan No 102,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn102__rl_e,released mucin-type O-glycan No 102,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn104_e,mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn104__rl_e,released mucin-type O-glycan No 104,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105_e,mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn105__rl_e,released mucin-type O-glycan No 105,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106_e,mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn106__rl_e,released mucin-type O-glycan No 106,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107_e,mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn107__rl_e,released mucin-type O-glycan No 107,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109_e,mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn109__rl_e,released mucin-type O-glycan No 109,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn110_e,mucin-type O-glycan No 110,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn110__rl_e,released mucin-type O-glycan No 110,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn111_e,mucin-type O-glycan No 111,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn111__rl_e,released mucin-type O-glycan No 111,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn112_e,mucin-type O-glycan No 112,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn112__rl_e,released mucin-type O-glycan No 112,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn113_e,mucin-type O-glycan No 113,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn113__rl_e,released mucin-type O-glycan No 113,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn114_e,mucin-type O-glycan No 114,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn114__rl_e,released mucin-type O-glycan No 114,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn115_e,mucin-type O-glycan No 115,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn115__rl_e,released mucin-type O-glycan No 115,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn117_e,mucin-type O-glycan No 117,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn117__rl_e,released mucin-type O-glycan No 117,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn120_e,mucin-type O-glycan No 120,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn120__rl_e,released mucin-type O-glycan No 120,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn126_e,mucin-type O-glycan No 126,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn126__rl_e,released mucin-type O-glycan No 126,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn12_e,mucin-type O-glycan No 12,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn12__rl_e,released mucin-type O-glycan No 12,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn130_e,mucin-type O-glycan No 130,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn130__rl_e,released mucin-type O-glycan No 130,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn131_e,mucin-type O-glycan No 131,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn131__rl_e,released mucin-type O-glycan No 131,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn137_e,mucin-type O-glycan No 137,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
MGlcn137__rl_e,released mucin-type O-glycan No 137,e,TRUE,TRUE,TRUE,FALSE,core_and_boundary,external_only
