reaction,lb,ub
23DHMPO_f,0,1000
23DHMPO_r,0,1000
23PDE2,0,1000
23PDE4,0,1000
23PDE7,0,1000
23PDE9,0,1000
2AHBUTI_f,0,1000
2AHBUTI_r,0,1000
3MOBS_f,0,1000
3MOBS_r,0,1000
3OAR100_f,0,1000
3OAR100_r,0,1000
3OAR10M11_f,0,1000
3OAR10M11_r,0,1000
3OAR10M12_f,0,1000
3OAR10M12_r,0,1000
3OAR11M12_f,0,1000
3OAR11M12_r,0,1000
3OAR120_f,0,1000
3OAR120_r,0,1000
3OAR12M13_f,0,1000
3OAR12M13_r,0,1000
3OAR12M14_f,0,1000
3OAR12M14_r,0,1000
3OAR13M14_f,0,1000
3OAR13M14_r,0,1000
3OAR140_f,0,1000
3OAR140_r,0,1000
3OAR14M15_f,0,1000
3OAR14M15_r,0,1000
3OAR14M16_f,0,1000
3OAR14M16_r,0,1000
3OAR15M16_f,0,1000
3OAR15M16_r,0,1000
3OAR160_f,0,1000
3OAR160_r,0,1000
3OAR180_f,0,1000
3OAR180_r,0,1000
3OAR40_f,0,1000
3OAR40_r,0,1000
3OAR4M5_f,0,1000
3OAR4M5_r,0,1000
3OAR4M6_f,0,1000
3OAR4M6_r,0,1000
3OAR5M6_f,0,1000
3OAR5M6_r,0,1000
3OAR60_f,0,1000
3OAR60_r,0,1000
3OAR6M7_f,0,1000
3OAR6M7_r,0,1000
3OAR6M8_f,0,1000
3OAR6M8_r,0,1000
3OAR7M8_f,0,1000
3OAR7M8_r,0,1000
3OAR80_f,0,1000
3OAR80_r,0,1000
3OAR8M10_f,0,1000
3OAR8M10_r,0,1000
3OAR8M9_f,0,1000
3OAR8M9_r,0,1000
3OAR9M10_f,0,1000
3OAR9M10_r,0,1000
4ABZt2,0,1000
4HTHRS,0,1000
5AIZCDC,0,1000
5MTHCYST_f,0,1000
5MTHCYST_r,0,1000
AACGLYDH_f,0,1000
AACGLYDH_r,0,1000
AACPS7,0,1000
AADSACYCL,0,1000
ABTOXy_f,0,1000
ABTOXy_r,0,1000
ABUTD,0,1000
ABUTR_f,0,1000
ABUTR_r,0,1000
ACALD_f,0,1000
ACALD_r,0,1000
ACALDt_f,0,1000
ACALDt_r,0,1000
ACCOACL,0,1000
ACGAM2E_f,0,1000
ACGAM2E_r,0,1000
ACGAMK,0,1000
ACGAMT,0,1000
ACGAabc,0,1000
ACGK,0,1000
ACGS,0,1000
ACHBPL_f,0,1000
ACHBPL_r,0,1000
ACKr_f,0,1000
ACKr_r,0,1000
ACLS_a,0,1000
ACLS_b_f,0,1000
ACLS_b_r,0,1000
ACOAAGPAT140,0,1000
ACOAAGPAT160,0,1000
ACOAAGPAT180,0,1000
ACOAAGPATAI15,0,1000
ACOAAGPATAI17,0,1000
ACOAAGPATI14,0,1000
ACOAAGPATI15,0,1000
ACOAAGPATI16,0,1000
ACOAAGPATI17,0,1000
ACOCT,0,1000
ACONMT,0,1000
ACONT_f,0,1000
ACONT_r,0,1000
ACONTa_f,0,1000
ACONTa_r,0,1000
ACONTb_f,0,1000
ACONTb_r,0,1000
ACOTA_f,0,1000
ACOTA_r,0,1000
ACPS1,0,1000
ACYP,0,1000
ACYP_2,0,1000
ACt2r_f,0,1000
ACt2r_r,0,1000
ADCS,0,1000
ADK1_f,0,1000
ADK1_r,0,1000
ADK10_f,0,1000
ADK10_r,0,1000
ADK11_f,0,1000
ADK11_r,0,1000
ADK2_f,0,1000
ADK2_r,0,1000
ADK3_f,0,1000
ADK3_r,0,1000
ADK5_f,0,1000
ADK5_r,0,1000
ADK7_f,0,1000
ADK7_r,0,1000
ADK8_f,0,1000
ADK8_r,0,1000
ADK9_f,0,1000
ADK9_r,0,1000
ADNUC,0,1000
ADPRDP,0,1000
ADPT,0,1000
ADSL1r_f,0,1000
ADSL1r_r,0,1000
ADSL2r_f,0,1000
ADSL2r_r,0,1000
ADSS,0,1000
AGALASE_OGLYCAN10e,0,1000
AGALASE_OGLYCAN11e,0,1000
AGALASE_OGLYCAN12e,0,1000
AGALASE_OGLYCAN13e,0,1000
AGALASE_OGLYCAN14e,0,1000
AGALASE_OGLYCAN15e,0,1000
AGALASE_OGLYCAN16e,0,1000
AGALASE_OGLYCAN17e,0,1000
AGALASE_OGLYCAN18e,0,1000
AGALASE_OGLYCAN19e,0,1000
AGALASE_OGLYCAN1e,0,1000
AGALASE_OGLYCAN20e,0,1000
AGALASE_OGLYCAN21e,0,1000
AGALASE_OGLYCAN22e,0,1000
AGALASE_OGLYCAN23e,0,1000
AGALASE_OGLYCAN24e,0,1000
AGALASE_OGLYCAN25e,0,1000
AGALASE_OGLYCAN26e,0,1000
AGALASE_OGLYCAN27e,0,1000
AGALASE_OGLYCAN28e,0,1000
AGALASE_OGLYCAN29e,0,1000
AGALASE_OGLYCAN2e,0,1000
AGALASE_OGLYCAN30e,0,1000
AGALASE_OGLYCAN31e,0,1000
AGALASE_OGLYCAN32e,0,1000
AGALASE_OGLYCAN33e,0,1000
AGALASE_OGLYCAN34e,0,1000
AGALASE_OGLYCAN35e,0,1000
AGALASE_OGLYCAN36e,0,1000
AGALASE_OGLYCAN37e,0,1000
AGALASE_OGLYCAN38e,0,1000
AGALASE_OGLYCAN39e,0,1000
AGALASE_OGLYCAN3e,0,1000
AGALASE_OGLYCAN40e,0,1000
AGALASE_OGLYCAN41e,0,1000
AGALASE_OGLYCAN42e,0,1000
AGALASE_OGLYCAN43e,0,1000
AGALASE_OGLYCAN44e,0,1000
AGALASE_OGLYCAN45e,0,1000
AGALASE_OGLYCAN46e,0,1000
AGALASE_OGLYCAN47e,0,1000
AGALASE_OGLYCAN48e,0,1000
AGALASE_OGLYCAN49e,0,1000
AGALASE_OGLYCAN4e,0,1000
AGALASE_OGLYCAN50e,0,1000
AGALASE_OGLYCAN51e,0,1000
AGALASE_OGLYCAN52e,0,1000
AGALASE_OGLYCAN53e,0,1000
AGALASE_OGLYCAN54e,0,1000
AGALASE_OGLYCAN55e,0,1000
AGALASE_OGLYCAN56e,0,1000
AGALASE_OGLYCAN57e,0,1000
AGALASE_OGLYCAN58e,0,1000
AGALASE_OGLYCAN59e,0,1000
AGALASE_OGLYCAN5e,0,1000
AGALASE_OGLYCAN60e,0,1000
AGALASE_OGLYCAN61e,0,1000
AGALASE_OGLYCAN62e,0,1000
AGALASE_OGLYCAN63e,0,1000
AGALASE_OGLYCAN64e,0,1000
AGALASE_OGLYCAN65e,0,1000
AGALASE_OGLYCAN66e,0,1000
AGALASE_OGLYCAN67e,0,1000
AGALASE_OGLYCAN68e,0,1000
AGALASE_OGLYCAN69e,0,1000
AGALASE_OGLYCAN6e,0,1000
AGALASE_OGLYCAN70e,0,1000
AGALASE_OGLYCAN71e,0,1000
AGALASE_OGLYCAN72e,0,1000
AGALASE_OGLYCAN73e,0,1000
AGALASE_OGLYCAN74e,0,1000
AGALASE_OGLYCAN75e,0,1000
AGALASE_OGLYCAN76e,0,1000
AGALASE_OGLYCAN77e,0,1000
AGALASE_OGLYCAN78e,0,1000
AGALASE_OGLYCAN79e,0,1000
AGALASE_OGLYCAN7e,0,1000
AGALASE_OGLYCAN8e,0,1000
AGALASE_OGLYCAN9e,0,1000
AGDC,0,1000
AGPAT120,0,1000
AGPAT140,0,1000
AGPAT141,0,1000
AGPAT160,0,1000
AGPAT161,0,1000
AGPAT180,0,1000
AGPAT181,0,1000
AGPR_f,0,1000
AGPR_r,0,1000
AHC_f,0,1000
AHC_r,0,1000
