reaction,FBAmodel,background_conc,system_volume
DM_2HYMEPH_f,Anaerostipes_caccae_DSM_14662,1000,0.001
DM_4HBA_f,Anaerostipes_caccae_DSM_14662,1000,0.001
DM_HQN_f,Anaerostipes_caccae_DSM_14662,1000,0.001
DM_dhptd_c_f,Anaerostipes_caccae_DSM_14662,1000,0.001
DM_dhptd_c_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_4abut_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_4abut_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn10_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn10_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn104_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn104_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn104__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn104__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn105_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn105_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn105__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn105__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn106_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn106_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn106__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn106__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn107_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn107_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn107__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn107__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn108_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn108_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn108__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn108__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn109_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn109_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn109__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn109__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn10__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn10__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn111_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn111_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn111__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn111__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn112_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn112_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn112__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn112__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn113_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn113_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn113__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn113__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn114_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn114_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn114__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn114__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn115_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn115_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn115__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn115__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn116_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn116_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn116__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn116__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn119_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn119_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn119__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn119__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn12_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn12_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn122_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn122_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn122__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn122__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn124_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn124_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn124__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn124__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn12__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn12__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn13_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn13_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn137_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn137_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn137__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn137__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn138_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn138_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn138__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn138__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn139_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn139_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn139__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn139__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn13__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn13__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn14_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn14_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn140_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn140_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn140__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn140__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn141_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn141_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn141__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn141__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn142_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn142_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn142__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn142__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn143_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn143_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn143__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn143__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn145_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn145_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn145__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn145__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn148_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn148_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn148__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn148__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn149_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn149_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn149__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn149__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn14__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn14__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn15_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn15_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn150_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn150_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn150__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn150__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn151_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn151_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn151__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn151__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn152_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn152_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn152__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn152__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn154_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn154_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn154__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn154__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn157_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn157_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn157__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn157__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn158_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn158_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn158__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn158__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn159_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn159_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn159__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn159__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn15__rl_e_f,Anaerostipes_caccae_DSM_14662,1000,0.001
EX_MGlcn15__rl_e_r,Anaerostipes_caccae_DSM_14662,1000,0.001
