"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"23DHMPO","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","23dhmp_c + nadp_c <=> 3h3mop_c + h_c + nadph_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","411490.6.peg.1417",TRUE
"26DAPLLAT","L,L-diaminopimelate aminotransferase","26dap__LL_c + akg_c <=> glu__L_c + h2o_c + h_c + thdp_c",-1000,1000,0,"Lysine metabolism","core","internal","411490.6.peg.120",TRUE
"2AHBUTI","(S)-2-Aceto-2-hydroxybutanoate isomerase","2ahbut_c <=> 3h3mop_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","411490.6.peg.1417",TRUE
"2INSD","2-Inosose dehydratase","2ins_c --> dkdi_c + h2o_c",0,1000,0,"Inositol phosphate metabolism","core","internal","( 411490.6.peg.2075 or 411490.6.peg.535 )",TRUE
"2MBCOATA","2-methylbutanoyl-CoA[acyl-carrier-protein] transferase","2mbcoa_c + ACP_c <=> 2mbutACP_c + coa_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","411490.6.peg.2928",TRUE
"3BTCOAI","Vinylacetyl-CoA delta3-delta2-isomerase","3btcoa_c <=> b2coa_c",-1000,1000,0,"Butanoate metabolism","core","internal","411490.6.peg.2559",TRUE
"3HAD100","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)","3hdecACP_c --> h2o_c + tdec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD10M11","10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase","10m3hundecACP_c --> 10mtundec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD10M12","10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","10m3hddcaACP_c --> 10mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD11M12","11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","11m3hddcaACP_c --> 11mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD120","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)","3hddecACP_c --> h2o_c + tddec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD12M13","12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase","12m3htridecACP_c --> 12mttritec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD12M14","12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","12m3hmyrsACP_c --> 12mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD13M14","13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","13m3hmyrsACP_c --> 13mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD140","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)","3hmrsACP_c --> h2o_c + tmrs2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD14M15","14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase","14m3hpentdecACP_c --> 14mtpentdec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD14M16","14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","14m3hpalmACP_c --> 14mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD15M16","15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","15m3hpalmACP_c --> 15mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD160","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)","3hpalmACP_c --> h2o_c + tpalm2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD180","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)","3hoctaACP_c --> h2o_c + toctd2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
"3HAD40","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)","3haACP_c --> but2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","411490.6.peg.2932",TRUE
