"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"13PPDHr","1,3-propanediol dehydrogenase, reversible","3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","( 525338.3.peg.2781 and 525338.3.peg.2782 )",TRUE
"13PPDt","1,3-propanediol transporter via diffusion","13ppd_e <=> 13ppd_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"23PDE2","2,3-Cyclic UMP 3-nucleotidohydrolase","23cump_c + h2o_c --> 3ump_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","525338.3.peg.456",TRUE
"23PDE4","2,3-Cyclic CMP 3-nucleotidohydrolase","23ccmp_c + h2o_c --> 3cmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","525338.3.peg.456",TRUE
"23PDE7","2,3-Cyclic AMP 3-nucleotidohydrolase","23camp_c + h2o_c --> 3amp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","525338.3.peg.456",TRUE
"23PDE9","2,3-Cyclic GMP 3-nucleotidohydrolase","23cgmp_c + h2o_c --> 3gmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","525338.3.peg.456",TRUE
"2HMCOXT","4-oxalocrotonate tautomerase","2hmc_c <=> oxalc_c",-1000,1000,0,"Benzoate degradation","core","internal","525338.3.peg.2345",TRUE
"2MBCOATA","2-methylbutanoyl-CoA[acyl-carrier-protein] transferase","2mbcoa_c + ACP_c <=> 2mbutACP_c + coa_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","525338.3.peg.2380",TRUE
"33HPHACt2r","3-Hydroxyphenylacetate transport in via proton symport reversible","3hphac_e + h_e <=> 3hphac_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"34DHPHAt2r","(3,4-dihydroxyphenyl)acetate transport in via proton symport reversible","34dhpha_e + h_e <=> 34dhpha_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"3HAD100","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)","3hdecACP_c --> h2o_c + tdec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD10M11","10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase","10m3hundecACP_c --> 10mtundec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD10M12","10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","10m3hddcaACP_c --> 10mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD11M12","11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","11m3hddcaACP_c --> 11mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD120","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)","3hddecACP_c --> h2o_c + tddec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD12M13","12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase","12m3htridecACP_c --> 12mttritec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD12M14","12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","12m3hmyrsACP_c --> 12mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD13M14","13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase","13m3hmyrsACP_c --> 13mtmrs2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD140","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)","3hmrsACP_c --> h2o_c + tmrs2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD14M15","14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase","14m3hpentdecACP_c --> 14mtpentdec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD14M16","14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","14m3hpalmACP_c --> 14mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD15M16","15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase","15m3hpalmACP_c --> 15mtpalm2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD160","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)","3hpalmACP_c --> h2o_c + tpalm2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD180","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)","3hoctaACP_c --> h2o_c + toctd2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD40","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)","3haACP_c --> but2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD4M5","4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase","4m3hpentACP_c --> 4mtpent2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD4M6","4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase","4m3hhexACP_c --> 4mthex2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD5M6","5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase","5m3hhexACP_c --> 5mthex2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD60","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)","3hhexACP_c --> h2o_c + thex2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD6M7","6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase","6m3hheptACP_c --> 6mthept2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD6M8","6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase","6m3hocACP_c --> 6mtoct2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD7M8","7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase","7m3hocACP_c --> 7mtoct2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD80","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)","3hoctACP_c --> h2o_c + toct2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD8M10","8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase","8m3hdcaACP_c --> 8mtdec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
"3HAD8M9","8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase","8m3hnonACP_c --> 8mtnon2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","( 525338.3.peg.2376 or 525338.3.peg.2383 )",TRUE
