transition,direction,place,multiplicity,command
Starv_ecs,INPUT,biomass_e_ecs,1,"Call[""Starvation"", FromTable[""population_parameters.csv"", 0, 0], 0]"
Dup_ecs,INPUT,n_ecs,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 0, 1], 0]"
Dup_ecs,INPUT,biomass_e_ecs,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 0, 1], 0]"
Dup_ecs,OUTPUT,n_ecs,2,"Call[""Duplication"", FromTable[""population_parameters.csv"", 0, 1], 0]"
Dup_ecs,OUTPUT,biomass_e_ecs,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 0, 1], 0]"
Death_ecs,INPUT,n_ecs,1,"Call[""Death"", FromTable[""population_parameters.csv"", 0, 2], 0]"
Death_ecs,INPUT,biomass_e_ecs,1,"Call[""Death"", FromTable[""population_parameters.csv"", 0, 2], 0]"
Death_ecs,OUTPUT,biomass_e_ecs,1,"Call[""Death"", FromTable[""population_parameters.csv"", 0, 2], 0]"
Starv_cbd1,INPUT,biomass_e_cbd1,1,"Call[""Starvation"", FromTable[""population_parameters.csv"", 1, 0], 1]"
Dup_cbd1,INPUT,n_cbd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 1, 1], 1]"
Dup_cbd1,INPUT,biomass_e_cbd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 1, 1], 1]"
Dup_cbd1,OUTPUT,n_cbd1,2,"Call[""Duplication"", FromTable[""population_parameters.csv"", 1, 1], 1]"
Dup_cbd1,OUTPUT,biomass_e_cbd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 1, 1], 1]"
Death_cbd1,INPUT,n_cbd1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 1, 2], 1]"
Death_cbd1,INPUT,biomass_e_cbd1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 1, 2], 1]"
Death_cbd1,OUTPUT,biomass_e_cbd1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 1, 2], 1]"
Starv_acd1,INPUT,biomass_e_acd1,1,"Call[""Starvation"", FromTable[""population_parameters.csv"", 2, 0], 2]"
Dup_acd1,INPUT,n_acd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 2, 1], 2]"
Dup_acd1,INPUT,biomass_e_acd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 2, 1], 2]"
Dup_acd1,OUTPUT,n_acd1,2,"Call[""Duplication"", FromTable[""population_parameters.csv"", 2, 1], 2]"
Dup_acd1,OUTPUT,biomass_e_acd1,1,"Call[""Duplication"", FromTable[""population_parameters.csv"", 2, 1], 2]"
Death_acd1,INPUT,n_acd1,1,"Call[""Death"", FromTable[""population_parameters.csv"", 2, 2], 2]"
