"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"12PPDt","S-Propane-1,2-diol facilitated transport","12ppd__S_e <==> 12ppd__S_c",-1000,1000,0,"Transport, extracellular","core","transport","gap_filled",TRUE
"15DAPt","1,5-Diaminopentane (cadaverine) export","15dap_c <==> 15dap_e",0,1000,0,"Transport, extracellular","core","transport","",FALSE
"23DHMPO","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","23dhmp_c + nadp_c <==> 3h3mop_c + h_c + nadph_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","6666666.59080.peg.4284",TRUE
"23PDE2","2,3-Cyclic UMP 3-nucleotidohydrolase","23cump_c + h2o_c <==> 3ump_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","6666666.59080.peg.4756",TRUE
"23PDE4","2,3-Cyclic CMP 3-nucleotidohydrolase","23ccmp_c + h2o_c <==> 3cmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","6666666.59080.peg.4756",TRUE
"23PDE7","2,3-Cyclic AMP 3-nucleotidohydrolase","23camp_c + h2o_c <==> 3amp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","6666666.59080.peg.4756",TRUE
"23PDE9","2,3-Cyclic GMP 3-nucleotidohydrolase","23cgmp_c + h2o_c <==> 3gmp_c + h_c",0,1000,0,"Nucleotide interconversion","core","internal","6666666.59080.peg.4756",TRUE
"2AHBUTI","(S)-2-Aceto-2-hydroxybutanoate isomerase","2ahbut_c <==> 3h3mop_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","6666666.59080.peg.4284",TRUE
"2DH3DGLCA","2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)","2h3oppan_c + pyr_c <==> 2dh3dglc_c",-1000,1000,0,"Ascorbate and aldarate metabolism","core","internal","6666666.59080.peg.3628",TRUE
"2HYOXPLACt2r","2-Hydroxyphenylacetate transport in via proton symport reversible","2hyoxplac_e + h_e <==> 2hyoxplac_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"2MBCOATA","2-methylbutanoyl-CoA[acyl-carrier-protein] transferase","2mbcoa_c + ACP_c <==> 2mbutACP_c + coa_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","6666666.59080.peg.1304",TRUE
"2OMMBOX","oxidoreductase","2ommb_c + nadph_c + o2_c <==> h2o_c + nadp_c + ocmhmxbq_c",0,1000,0,"Ubiquinone and other terpenoid-quinone biosynthesis","core","internal","( 6666666.59080.peg.3385 or 6666666.59080.peg.874 )",TRUE
"2OMPHH","2-octaprenyl-6-methoxyphenol hydroxylase","2omph_c + o2_c <==> 2ombz_c + h2o_c",0,1000,0,"Ubiquinone and other terpenoid-quinone biosynthesis","core","internal","6666666.59080.peg.3386",TRUE
"33HPHACt2r","3-Hydroxyphenylacetate transport in via proton symport reversible","3hphac_e + h_e <==> 3hphac_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"34DHPHAt2r","(3,4-dihydroxyphenyl)acetate transport in via proton symport reversible","34dhpha_e + h_e <==> 34dhpha_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"3CARLPDH","3-Carboxy-1-hydroxypropyl-ThPP:lipoamide","HC01435_c + lpam_c <==> HC00695_c + thmpp_c",-1000,1000,0,"Citric acid cycle","core","internal","6666666.59080.peg.929",TRUE
"3DGUR","3-Dehydro-L-gulonate:NAD+ 2-oxidoreductase","3dhguln_c + nadp_c <==> 23doguln_c + h_c + nadph_c",-1000,1000,0,"Pentose and glucuronate interconversions","core","internal","6666666.59080.peg.4079",TRUE
"3HACPR1","3-hydroxyacyl-ACP-dehydratase (FabZ)","3hgACPm_c <==> egACPm_c + h2o_c",0,1000,0,"Biotin metabolism","core","internal","6666666.59080.peg.957",TRUE
"3HACPR2","3-hydroxyacyl-ACP-dehydratase (FabZ)","3hpACPm_c <==> epACPm_c + h2o_c",0,1000,0,"Biotin metabolism","core","internal","6666666.59080.peg.957",TRUE
"3HAD100","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)","3hdecACP_c <==> h2o_c + tdec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 6666666.59080.peg.1160 or 6666666.59080.peg.307 )",TRUE
"3HAD10M11","10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase","10m3hundecACP_c <==> 10mtundec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","6666666.59080.peg.307",TRUE
"3HAD10M12","10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","10m3hddcaACP_c <==> 10mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","6666666.59080.peg.307",TRUE
"3HAD11M12","11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase","11m3hddcaACP_c <==> 11mtddec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","6666666.59080.peg.307",TRUE
"3HAD120","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)","3hddecACP_c <==> h2o_c + tddec2eACP_c",0,1000,0,"Fatty acid synthesis","core","internal","( 6666666.59080.peg.307 or 6666666.59080.peg.1160 )",TRUE
"3HAD12M13","12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase","12m3htridecACP_c <==> 12mttritec2eACP_c + h2o_c",0,1000,0,"Fatty acid synthesis","core","internal","6666666.59080.peg.307",TRUE
