reaction,FBAmodel,upper_bound
DM_2HYMEPH_f,Clostridium_butyricum_DSM_10702,1000
DM_2HYMEPH_r,Clostridium_butyricum_DSM_10702,1e-06
DM_2obut_c_f,Clostridium_butyricum_DSM_10702,1000
DM_2obut_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_4HBA_f,Clostridium_butyricum_DSM_10702,1000
DM_4HBA_f,Escherichia_coli_SE11,1000
DM_4HBA_r,Clostridium_butyricum_DSM_10702,1e-06
DM_4HBA_r,Escherichia_coli_SE11,1e-06
DM_5DRIB_f,Clostridium_butyricum_DSM_10702,1000
DM_5DRIB_f,Escherichia_coli_SE11,1000
DM_5DRIB_r,Clostridium_butyricum_DSM_10702,1e-06
DM_5DRIB_r,Escherichia_coli_SE11,1e-06
DM_5MTR_f,Clostridium_butyricum_DSM_10702,1000
DM_5MTR_f,Escherichia_coli_SE11,1000
DM_5MTR_r,Clostridium_butyricum_DSM_10702,1e-06
DM_5MTR_r,Escherichia_coli_SE11,1e-06
DM_AMOB_f,Clostridium_butyricum_DSM_10702,1000
DM_AMOB_f,Escherichia_coli_SE11,1000
DM_AMOB_r,Clostridium_butyricum_DSM_10702,1e-06
DM_AMOB_r,Escherichia_coli_SE11,1e-06
DM_btn_f,Clostridium_butyricum_DSM_10702,1000
DM_btn_f,Escherichia_coli_SE11,1000
DM_btn_r,Clostridium_butyricum_DSM_10702,1e-06
DM_btn_r,Escherichia_coli_SE11,1e-06
DM_clpn140_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpn140_c_f,Escherichia_coli_SE11,1000
DM_clpn140_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpn140_c_r,Escherichia_coli_SE11,1e-06
DM_clpn160_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpn160_c_f,Escherichia_coli_SE11,1000
DM_clpn160_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpn160_c_r,Escherichia_coli_SE11,1e-06
DM_clpn180_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpn180_c_f,Escherichia_coli_SE11,1000
DM_clpn180_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpn180_c_r,Escherichia_coli_SE11,1e-06
DM_clpnai15_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpnai15_c_f,Escherichia_coli_SE11,1000
DM_clpnai15_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpnai15_c_r,Escherichia_coli_SE11,1e-06
DM_clpnai17_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpnai17_c_f,Escherichia_coli_SE11,1000
DM_clpnai17_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpnai17_c_r,Escherichia_coli_SE11,1e-06
DM_clpni14_c_f,Escherichia_coli_SE11,1000
DM_clpni14_c_r,Escherichia_coli_SE11,1e-06
DM_clpni15_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpni15_c_f,Escherichia_coli_SE11,1000
DM_clpni15_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpni15_c_r,Escherichia_coli_SE11,1e-06
DM_clpni16_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpni16_c_f,Escherichia_coli_SE11,1000
DM_clpni16_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpni16_c_r,Escherichia_coli_SE11,1e-06
DM_clpni17_c_f,Clostridium_butyricum_DSM_10702,1000
DM_clpni17_c_f,Escherichia_coli_SE11,1000
DM_clpni17_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_clpni17_c_r,Escherichia_coli_SE11,1e-06
DM_dad_5_f,Clostridium_butyricum_DSM_10702,1000
DM_dad_5_f,Escherichia_coli_SE11,1000
DM_dad_5_r,Clostridium_butyricum_DSM_10702,1e-06
DM_dad_5_r,Escherichia_coli_SE11,1e-06
DM_dhptd_c_f,Clostridium_butyricum_DSM_10702,1000
DM_dhptd_c_f,Escherichia_coli_SE11,1000
DM_dhptd_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_dhptd_c_r,Escherichia_coli_SE11,1e-06
DM_GCALD_f,Clostridium_butyricum_DSM_10702,1000
DM_GCALD_r,Clostridium_butyricum_DSM_10702,1e-06
DM_HQN_f,Clostridium_butyricum_DSM_10702,1000
DM_HQN_f,Escherichia_coli_SE11,1000
DM_HQN_r,Clostridium_butyricum_DSM_10702,1e-06
DM_HQN_r,Escherichia_coli_SE11,1e-06
DM_kdo2lipid4L_c_f,Escherichia_coli_SE11,1000
DM_kdo2lipid4L_c_r,Escherichia_coli_SE11,1e-06
DM_NA1_f,Clostridium_butyricum_DSM_10702,1000
DM_NA1_r,Clostridium_butyricum_DSM_10702,1e-06
DM_teich__45__BS_c_f,Clostridium_butyricum_DSM_10702,1000
DM_teich__45__BS_c_f,Escherichia_coli_SE11,1000
DM_teich__45__BS_c_r,Clostridium_butyricum_DSM_10702,1e-06
DM_teich__45__BS_c_r,Escherichia_coli_SE11,1e-06
DM_this_c_f,Clostridium_butyricum_DSM_10702,1000
DM_this_c_r,Clostridium_butyricum_DSM_10702,1e-06
dreplication_f,Clostridium_butyricum_DSM_10702,1000
dreplication_f,Escherichia_coli_SE11,1000
dreplication_r,Clostridium_butyricum_DSM_10702,1e-06
dreplication_r,Escherichia_coli_SE11,1e-06
EX_12ppd__S_e_f,Clostridium_butyricum_DSM_10702,1000
EX_12ppd__S_e_f,Escherichia_coli_SE11,1000
EX_12ppd__S_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_12ppd__S_e_r,Escherichia_coli_SE11,5e-07
EX_13ppd_e_f,Clostridium_butyricum_DSM_10702,1000
EX_13ppd_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_15dap_e_f,Clostridium_butyricum_DSM_10702,1000
EX_15dap_e_f,Escherichia_coli_SE11,1000
EX_15dap_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_15dap_e_r,Escherichia_coli_SE11,5e-07
EX_26dap__M_e_f,Clostridium_butyricum_DSM_10702,1000
EX_26dap__M_e_r,Clostridium_butyricum_DSM_10702,1e-10
EX_2ddglcn_e_f,Escherichia_coli_SE11,1000
EX_2ddglcn_e_r,Escherichia_coli_SE11,1e-06
EX_2hyoxplac_e_f,Escherichia_coli_SE11,1000
EX_2hyoxplac_e_r,Escherichia_coli_SE11,1e-06
EX_34dhpha_e_f,Escherichia_coli_SE11,1000
EX_34dhpha_e_r,Escherichia_coli_SE11,1e-06
