transition,direction,place,multiplicity,command
Starv_abbr_right,INPUT,biomass_e_abbr_right,1,"Call[""Starvation"", FromTable[""organisms_parameters.csv"", 0, 0], 0]"
Dup_abbr_right,OUTPUT,n_abbr_right,2,"Call[""Duplication"", FromTable[""organisms_parameters.csv"", 0, 1], 0]"
Dup_abbr_right,INPUT,n_abbr_right,1,"Call[""Duplication"", FromTable[""organisms_parameters.csv"", 0, 1], 0]"
Death_abbr_right,INPUT,n_abbr_right,1,"Call[""Death"", FromTable[""organisms_parameters.csv"", 0, 2], 0]"
Death_abbr_right,INPUT,biomass_e_abbr_right,1,"Call[""Death"", FromTable[""organisms_parameters.csv"", 0, 2], 0]"
Dup_abbr_right,INPUT,biomass_e_abbr_right,1,"Call[""Duplication"", FromTable[""organisms_parameters.csv"", 0, 1], 0]"
Dup_abbr_right,OUTPUT,biomass_e_abbr_right,1,"Call[""Duplication"", FromTable[""organisms_parameters.csv"", 0, 1], 0]"
Death_abbr_right,OUTPUT,biomass_e_abbr_right,1,"Call[""Death"", FromTable[""organisms_parameters.csv"", 0, 2], 0]"
EX_biomass_e_in_abbr_right,INPUT,biomass_e_abbr_right,1,"FBA[""abbr_model_right.txt"", ""EX_biomass_e"", 1, ""n_abbr_right"", ""biomass_e_abbr_right"", ""true""]"
EX_biomass_e_out_abbr_right,OUTPUT,biomass_e_abbr_right,2,"FBA[""abbr_model_right.txt"", ""EX_biomass_e"", 1, ""n_abbr_right"", ""biomass_e_abbr_right"", ""true""]"
EX_biomass_e_out_abbr_right,INPUT,biomass_e_abbr_right,1,"FBA[""abbr_model_right.txt"", ""EX_biomass_e"", 1, ""n_abbr_right"", ""biomass_e_abbr_right"", ""true""]"
