"abbreviation","type","subtype","lowbnd","uppbnd"
"12PPDSDH","core","internal",0,1000
"12PPDt","core","internal",-1000,1000
"13PPDHr","core","internal",-1000,1000
"13PPDt","core","internal",-1000,1000
"23DHMPO","core","internal",-1000,1000
"26DAPLLATi","core","internal",0,1000
"26DAPt2r","core","internal",-1000,1000
"2AHBUTI","core","internal",-1000,1000
"2IMZS","core","internal",-1000,1000
"2MBCOATA","core","internal",-1000,1000
"2S6HCC","core","internal",-1000,1000
"3CARLPDH","core","internal",-1000,1000
"3HAD100","core","internal",0,1000
"3HAD10M12","core","internal",0,1000
"3HAD11M12","core","internal",0,1000
"3HAD120","core","internal",0,1000
"3HAD12M14","core","internal",0,1000
"3HAD13M14","core","internal",0,1000
"3HAD140","core","internal",0,1000
"3HAD14M16","core","internal",0,1000
"3HAD15M16","core","internal",0,1000
"3HAD160","core","internal",0,1000
"3HAD180","core","internal",0,1000
"3HAD40","core","internal",0,1000
"3HAD4M6","core","internal",0,1000
"3HAD5M6","core","internal",0,1000
"3HAD60","core","internal",0,1000
"3HAD6M8","core","internal",0,1000
"3HAD7M8","core","internal",0,1000
"3HAD80","core","internal",0,1000
"3HAD8M10","core","internal",0,1000
"3HAD9M10","core","internal",0,1000
"3HBCOAE","core","internal",-1000,1000
"3MOBS","core","internal",-1000,1000
"3OAR100","core","internal",-1000,1000
"3OAR10M11","core","internal",-1000,1000
"3OAR10M12","core","internal",-1000,1000
"3OAR11M12","core","internal",-1000,1000
"3OAR120","core","internal",-1000,1000
"3OAR12M13","core","internal",-1000,1000
"3OAR12M14","core","internal",-1000,1000
"3OAR13M14","core","internal",-1000,1000
"3OAR140","core","internal",-1000,1000
"3OAR14M15","core","internal",-1000,1000
"3OAR14M16","core","internal",-1000,1000
"3OAR15M16","core","internal",-1000,1000
"3OAR160","core","internal",-1000,1000
"3OAR180","core","internal",-1000,1000
"3OAR40","core","internal",-1000,1000
"3OAR4M5","core","internal",-1000,1000
"3OAR4M6","core","internal",-1000,1000
"3OAR5M6","core","internal",-1000,1000
"3OAR60","core","internal",-1000,1000
"3OAR6M7","core","internal",-1000,1000
"3OAR6M8","core","internal",-1000,1000
"3OAR7M8","core","internal",-1000,1000
"3OAR80","core","internal",-1000,1000
"3OAR8M10","core","internal",-1000,1000
"3OAR8M9","core","internal",-1000,1000
"3OAR9M10","core","internal",-1000,1000
"3OAS100","core","internal",0,1000
"3OAS10M11","core","internal",0,1000
"3OAS10M12","core","internal",0,1000
"3OAS11M12","core","internal",0,1000
"3OAS120","core","internal",0,1000
"3OAS12M13","core","internal",0,1000
"3OAS12M14","core","internal",0,1000
"3OAS13M14","core","internal",0,1000
"3OAS140","core","internal",0,1000
"3OAS160","core","internal",0,1000
"3OAS180","core","internal",0,1000
"3OAS2M3","core","internal",0,1000
"3OAS3M4","core","internal",0,1000
"3OAS4M3O6","core","internal",0,1000
"3OAS4M5","core","internal",0,1000
"3OAS4M6","core","internal",0,1000
"3OAS5M6","core","internal",0,1000
"3OAS60","core","internal",0,1000
"3OAS6M7","core","internal",0,1000
"3OAS6M8","core","internal",0,1000
"3OAS7M8","core","internal",0,1000
"3OAS80","core","internal",0,1000
"3OAS8M10","core","internal",0,1000
"3OAS8M9","core","internal",0,1000
