"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"12PPDSDH","S Propane 1 2 diol dehydratase","12ppd__S_c <==> h2o_c + ppal_c",0,1000,0,"Propanoate metabolism","core","internal","",FALSE
"12PPDt","S-Propane-1,2-diol facilitated transport","12ppd__S_e <==> 12ppd__S_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"13PPDHr","1,3-propanediol dehydrogenase, reversible","3hppnl_c + h_c + nadh_c <==> 13ppd_c + nad_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","g.31994.CDS.3549",TRUE
"13PPDt","1,3-propanediol transporter via diffusion","13ppd_e <==> 13ppd_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"23DHMPO","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","23dhmp_c + nadp_c <==> 3h3mop_c + h_c + nadph_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","g.31994.CDS.727",TRUE
"26DAPLLATi","L,L-diaminopimelate aminotransferase (irreversible)","glu__L_c + h2o_c + h_c + thdp_c <==> 26dap__LL_c + akg_c",0,1000,0,"Lysine metabolism","core","internal","1316931.3.3559.peg or 1316931.3.4173.peg",TRUE
"26DAPt2r","meso-2,6-Diaminoheptanedioate transport via proton symport, reversible","26dap__M_e + h_e <==> 26dap__M_c + h_c",-1000,1000,0,"Transport, extracellular","core","transport","",FALSE
"2AHBUTI","(S)-2-Aceto-2-hydroxybutanoate isomerase","2ahbut_c <==> 3h3mop_c",-1000,1000,0,"Valine, leucine, and isoleucine metabolism","core","internal","g.31994.CDS.727",TRUE
"2IMZS","2-iminoacetate synthase","amet_c + nadph_c + tyr__L_c <==> dad__5_c + h_c + imogly_c + met__L_c + nadp_c + pcresol_c",-1000,1000,0,"Tyrosine metabolism","core","internal","1316931.3.2485.peg or 1316931.3.2601.peg",TRUE
"2MBCOATA","2-methylbutanoyl-CoA[acyl-carrier-protein] transferase","2mbcoa_c + ACP_c <==> 2mbutACP_c + coa_c",-1000,1000,0,"Glycerophospholipid metabolism","core","internal","g.31994.CDS.1549",TRUE
"2S6HCC","2 succinyl 6 hydroxy 2 4 cyclohexadiene 1 carboxylate synthase","akg_c + h_c + ichor_c <==> 2shchc_c + co2_c + pyr_c",-1000,1000,0,"Ubiquinone and other terpenoid-quinone biosynthesis","core","internal","",FALSE
