"abbreviation","type","subtype","lowbnd","uppbnd"
"12PPDt","core","internal",-1000,1000
"15DAPt","core","internal",0,1000
"23DHMPO","core","internal",-1000,1000
"23PDE2","core","internal",0,1000
"23PDE4","core","internal",0,1000
"23PDE7","core","internal",0,1000
"23PDE9","core","internal",0,1000
"2AHBUTI","core","internal",-1000,1000
"2DH3DGLCA","core","internal",-1000,1000
"2MBCOATA","core","internal",-1000,1000
"2OMMBOX","core","internal",0,1000
"2OMPHH","core","internal",0,1000
"3CARLPDH","core","internal",-1000,1000
"3DGUR","core","internal",-1000,1000
"3HACPR1","core","internal",0,1000
"3HACPR2","core","internal",0,1000
"3HAD100","core","internal",0,1000
"3HAD10M11","core","internal",0,1000
"3HAD10M12","core","internal",0,1000
"3HAD11M12","core","internal",0,1000
"3HAD120","core","internal",0,1000
"3HAD12M13","core","internal",0,1000
"3HAD12M14","core","internal",0,1000
"3HAD13M14","core","internal",0,1000
"3HAD140","core","internal",0,1000
"3HAD14M15","core","internal",0,1000
"3HAD14M16","core","internal",0,1000
"3HAD15M16","core","internal",0,1000
"3HAD160","core","internal",0,1000
"3HAD180","core","internal",0,1000
"3HAD40","core","internal",0,1000
"3HAD4M5","core","internal",0,1000
"3HAD4M6","core","internal",0,1000
"3HAD5M6","core","internal",0,1000
"3HAD60","core","internal",0,1000
"3HAD6M7","core","internal",0,1000
"3HAD6M8","core","internal",0,1000
"3HAD7M8","core","internal",0,1000
"3HAD80","core","internal",0,1000
"3HAD8M10","core","internal",0,1000
"3HAD8M9","core","internal",0,1000
"3HAD9M10","core","internal",0,1000
"3HBCOAE","core","internal",-1000,1000
"3HCINNMH","core","internal",0,1000
"3HPPPNH","core","internal",0,1000
"3MOBS","core","internal",-1000,1000
"3OAACPR1","core","internal",0,1000
"3OAACPR2","core","internal",0,1000
"3OAR100","core","internal",-1000,1000
"3OAR10M11","core","internal",-1000,1000
"3OAR10M12","core","internal",-1000,1000
"3OAR11M12","core","internal",-1000,1000
"3OAR120","core","internal",-1000,1000
"3OAR12M13","core","internal",-1000,1000
"3OAR12M14","core","internal",-1000,1000
"3OAR13M14","core","internal",-1000,1000
"3OAR140","core","internal",-1000,1000
"3OAR14M15","core","internal",-1000,1000
"3OAR14M16","core","internal",-1000,1000
"3OAR15M16","core","internal",-1000,1000
"3OAR160","core","internal",-1000,1000
"3OAR180","core","internal",-1000,1000
"3OAR40","core","internal",-1000,1000
"3OAR4M5","core","internal",-1000,1000
"3OAR4M6","core","internal",-1000,1000
"3OAR5M6","core","internal",-1000,1000
"3OAR60","core","internal",-1000,1000
"3OAR6M7","core","internal",-1000,1000
"3OAR6M8","core","internal",-1000,1000
"3OAR7M8","core","internal",-1000,1000
"3OAR80","core","internal",-1000,1000
"3OAR8M10","core","internal",-1000,1000
"3OAR8M9","core","internal",-1000,1000
"3OAR9M10","core","internal",-1000,1000
"3OAS100","core","internal",0,1000
"3OAS10M11","core","internal",0,1000
"3OAS10M12","core","internal",0,1000
"3OAS11M12","core","internal",0,1000
"3OAS120","core","internal",0,1000
"3OAS12M13","core","internal",0,1000
"3OAS12M14","core","internal",0,1000
"3OAS13M14","core","internal",0,1000
"3OAS140","core","internal",0,1000
"3OAS160","core","internal",0,1000
"3OAS180","core","internal",0,1000
"3OAS2M3","core","internal",0,1000
"3OAS3M4","core","internal",0,1000
"3OAS4M3O6","core","internal",0,1000
"3OAS4M5","core","internal",0,1000
"3OAS4M6","core","internal",0,1000
"3OAS5M6","core","internal",0,1000
"3OAS60","core","internal",0,1000
"3OAS6M7","core","internal",0,1000
"3OAS6M8","core","internal",0,1000
"3OAS7M8","core","internal",0,1000
"3OAS80","core","internal",0,1000
"3OAS8M10","core","internal",0,1000
"3OAS8M9","core","internal",0,1000
"3OAS9M10","core","internal",0,1000
"3OXCOAT","core","internal",0,1000
"4HBZt2","core","internal",-1000,1000
"4HOXPACDt2r","core","internal",-1000,1000
"4HTHRS","core","internal",0,1000
"4NTPPH2","core","internal",0,1000
"5AIZCDC","core","internal",0,1000
"5DGLCNR","core","internal",-1000,1000
"5DOAN","core","internal",0,1000
"5GLUP5T1","core","internal",-1000,1000
"5GLUP5T2","core","internal",0,1000
"5MTHCYST","core","internal",-1000,1000
"6PHBG","core","internal",0,1000
"6PHBG2","core","internal",0,1000
"7AHSDH","core","internal",-1000,1000
"7AHSDHe","core","internal",-1000,1000
"A5PISO","core","internal",-1000,1000
"AACPS7","core","internal",0,1000
"AACTOOR","core","internal",0,1000
"AADSACYCL","core","internal",0,1000
"AB6PGH","core","internal",0,1000
"AB6PGH2","core","internal",0,1000
"ABTAr","core","internal",-1000,1000
"ABUTD","core","internal",0,1000
"ABUTt2","core","internal",0,1000
"ACACCTr","core","internal",-1000,1000
"ACACT1r","core","internal",-1000,1000
"ACACT2r","core","internal",-1000,1000
"ACACT3r","core","internal",-1000,1000
"ACACT4r","core","internal",-1000,1000
"ACACT5r","core","internal",-1000,1000
"ACACT6r","core","internal",-1000,1000
"ACACT7r","core","internal",-1000,1000
"ACACt2","core","internal",-1000,1000
"ACALD","core","internal",-1000,1000
"ACALDt","core","internal",-1000,1000
"ACBIPGT","core","internal",0,1000
"ACCOAC","core","internal",0,1000
"ACCOACL","core","internal",0,1000
"ACCOAL","core","internal",0,1000
"ACGALK3","core","internal",0,1000
"ACGALpts","core","internal",0,1000
"ACGALt2r","core","internal",-1000,1000
"ACGAMT","core","internal",0,1000
"ACGApts","core","internal",0,1000
