"abbreviation","name","equation","lowbnd","uppbnd","obj_coef","subsystem","type","subtype","gpr_rule","is_gene_associated"
"CYTDK2","Cytidine kinase (GTP)","cytd__c + gtp__c --> h__c + gdp__c + cmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b2066",TRUE
"XPPT","Xanthine phosphoribosyltransferase","xan__c + prpp__c --> ppi__c + xmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0238",TRUE
"HXPRT","Hypoxanthine phosphoribosyltransferase (Hypoxanthine)","prpp__c + hxan__c --> imp__c + ppi__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b0238 or b0125",TRUE
"NDPK5","Nucleoside-diphosphate kinase (ATP:dGDP)","dgdp__c + atp__c <=> adp__c + dgtp__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b0474 or b2518",TRUE
"SHK3Dr","Shikimate dehydrogenase","h__c + 3dhsk__c + nadph__c <=> skm__c + nadp__c",-1000,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b3281 or b1692",TRUE
"NDPK6","Nucleoside-diphosphate kinase (ATP:dUDP)","dudp__c + atp__c <=> dutp__c + adp__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b0474 or b2518",TRUE
"NDPK8","Nucleoside-diphosphate kinase (ATP:dADP)","dadp__c + atp__c <=> adp__c + datp__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b0474 or b2518",TRUE
"DHORTS","Dihydroorotase","dhor____S__c + h2o__c <=> h__c + cbasp__c",-1000,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b1062",TRUE
"OMPDC","Orotidine-5'-phosphate decarboxylase","h__c + orot5p__c --> ump__c + co2__c",0,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b1281",TRUE
"PYNP2r","Pyrimidine-nucleoside phosphorylase (uracil)","pi__c + uri__c <=> r1p__c + ura__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b3831",TRUE
"G5SD","Glutamate-5-semialdehyde dehydrogenase","h__c + nadph__c + glu5p__c --> pi__c + nadp__c + glu5sa__c",0,1000,0,"Arginine and Proline Metabolism","core","internal","b0243",TRUE
"CS","Citrate synthase","accoa__c + h2o__c + oaa__c --> h__c + cit__c + coa__c",0,1000,0,"Citric Acid Cycle","core","internal","b0720",TRUE
"ICDHyr","Isocitrate dehydrogenase (NADP)","nadp__c + icit__c <=> akg__c + nadph__c + co2__c",-1000,1000,0,"Citric Acid Cycle","core","internal","b1136",TRUE
"ALATA_L2","Alanine transaminase","pydx5p__c + ala____L__c --> pyam5p__c + pyr__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0870 or b2551",TRUE
"DURIPP","Deoxyuridine phosphorylase","duri__c + pi__c <=> 2dr1p__c + ura__c",-1000,1000,0,"Nucleotide Salvage Pathway","core","internal","b4382 or b4384",TRUE
"ACALD","Acetaldehyde dehydrogenase (acetylating)","nad__c + coa__c + acald__c <=> h__c + accoa__c + nadh__c",-1000,1000,0,"Pyruvate Metabolism","core","internal","b0351 or b1241",TRUE
"PTRCTA","Putrescine Transaminase","akg__c + ptrc__c --> 4abutn__c + glu____L__c",0,1000,0,"Arginine and Proline Metabolism","core","internal","b3073",TRUE
"ACS","Acetyl-CoA synthetase","ac__c + atp__c + coa__c --> accoa__c + ppi__c + amp__c",0,1000,0,"Pyruvate Metabolism","core","internal","b4069",TRUE
"CYSDS","Cysteine Desulfhydrase","cys____L__c + h2o__c --> nh4__c + h2s__c + pyr__c",0,1000,0,"Cysteine Metabolism","core","internal","b3008 or b3708",TRUE
"MAN6PI","Mannose-6-phosphate isomerase","man6p__c <=> f6p__c",-1000,1000,0,"Alternate Carbon Metabolism","core","internal","b1613",TRUE
"PPA","Inorganic diphosphatase","ppi__c + h2o__c --> h__c + 2 pi__c",0,1000,0,"Anaplerotic Reactions","core","internal","b2744 or b2502 or b4226",TRUE
"APRAUR","5-amino-6-(5-phosphoribosylamino)uracil reductase","h__c + 5apru__c + nadph__c --> nadp__c + 5aprbu__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0414",TRUE
"TRPAS2","Tryptophanase (L-tryptophan)","trp____L__c + h2o__c <=> nh4__c + indole__c + pyr__c",-1000,1000,0,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","core","internal","b3708",TRUE
"PPCK","Phosphoenolpyruvate carboxykinase","atp__c + oaa__c --> pep__c + adp__c + co2__c",0,1000,0,"Anaplerotic Reactions","core","internal","b3403",TRUE
"ME1","Malic enzyme (NAD)","nad__c + mal____L__c --> pyr__c + nadh__c + co2__c",0,1000,0,"Anaplerotic Reactions","core","internal","b1479",TRUE
"DB4PS","3,4-Dihydroxy-2-butanone-4-phosphate synthase","ru5p____D__c --> h__c + db4p__c + for__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3041",TRUE
"ALAR","Alanine racemase","ala____L__c <=> ala____D__c",-1000,1000,0,"Alanine and Aspartate Metabolism","core","internal","b1190 or b4053",TRUE
"RBFK","Riboflavin kinase","atp__c + ribflv__c --> h__c + adp__c + fmn__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0025",TRUE
"ALATA_L","L-alanine transaminase","akg__c + ala____L__c <=> glu____L__c + pyr__c",-1000,1000,0,"Alanine and Aspartate Metabolism","core","internal","b2290 or b2379",TRUE
"XYLK","Xylulokinase","xylu____D__c + atp__c --> h__c + xu5p____D__c + adp__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b0063 or b3564",TRUE
"RBK","Ribokinase","rib____D__c + atp__c --> r5p__c + h__c + adp__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b3752",TRUE
"GLYK","Glycerol kinase","atp__c + glyc__c --> h__c + glyc3p__c + adp__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b3926",TRUE
"PPM","Phosphopentomutase","r1p__c <=> r5p__c",-1000,1000,0,"Alternate Carbon Metabolism","core","internal","b4383",TRUE
"ASPTA","Aspartate transaminase","akg__c + asp____L__c <=> glu____L__c + oaa__c",-1000,1000,0,"Alanine and Aspartate Metabolism","core","internal","b0928 or b4054",TRUE
"ACP1_FMN","Acid phosphatase (FMN)","h2o__c + fmn__c --> pi__c + ribflv__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3812 or b0446 or b0844",TRUE
"RBFSb","Riboflavin synthase","2 dmlz__c --> 4r5au__c + ribflv__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b1662",TRUE
"NDP3","Nucleoside diphosphatase  GDP ","gdp__c + h2o__c --> h__c + pi__c + gmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b1134 or b3614",TRUE
"CDPPH","CDP phosphohydrolase","h2o__c + cdp__c --> h__c + pi__c + cmp__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b3614",TRUE
"NDP7","Nucleoside diphosphatase  UDP ","h2o__c + udp__c --> h__c + ump__c + pi__c",0,1000,0,"Nucleotide Salvage Pathway","core","internal","b3614",TRUE
"FBP","Fructose-bisphosphatase","fdp__c + h2o__c --> pi__c + f6p__c",0,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b4232 or b3925 or b2930 or b3697",TRUE
"EX_pi__e","Phosphate exchange","pi__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"GLGC","Glucose-1-phosphate adenylyltransferase","h__c + atp__c + g1p__c --> adpglc__c + ppi__c",0,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b3430",TRUE
"ALATA_D2","D-alanine transaminase","pydx5p__c + ala____D__c --> pyam5p__c + pyr__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b2551 or b0870",TRUE
"PYK","Pyruvate kinase","pep__c + h__c + adp__c --> atp__c + pyr__c",0,1000,0,"Glycolysis/Gluconeogenesis","core","internal","b1854 or b1676",TRUE
"SHCHD2","Sirohydrochlorin dehydrogenase (NAD)","nad__c + dscl__c --> h__c + scl__c + nadh__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3368",TRUE
"EX_co2__e","CO2 exchange","co2__e <=>",-1000,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"A5PISO","Arabinose-5-phosphate isomerase","ru5p____D__c <=> ara5p__c",-1000,1000,0,"Alternate Carbon Metabolism","core","internal","b3197 or b2708",TRUE
"PMDPHT","Pyrimidine phosphatase","h2o__c + 5aprbu__c --> pi__c + 4r5au__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0844 or b3812",TRUE
"CPPPGO","Coproporphyrinogen oxidase (O2 required)","2 h__c + o2__c + cpppg3__c --> 2 h2o__c + pppg9__c + 2 co2__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b2436",TRUE
"EX_met____L__e","L-Methionine exchange","met____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"GTHOr","Glutathione oxidoreductase","h__c + nadph__c + gthox__c <=> 2 gthrd__c + nadp__c",-1000,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b3500",TRUE
"ILETA","Isoleucine transaminase","akg__c + ile____L__c <=> glu____L__c + 3mop__c",-1000,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b3770",TRUE
"DHORD5","Dihydroorotic acid (menaquinone-8)","dhor____S__c + mqn8__c --> mql8__c + orot__c",0,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b0945",TRUE
"EX_metsox__S____L__e","L-Methionine S-oxide exchange","metsox__S____L__e -->",0,1000,0,"Extracellular exchange","boundary","exchange","",FALSE
"GLYCTO2","Glycolate oxidase","glyclt__c + q8__c --> glx__c + q8h2__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b2979 and b4468 and b4467",TRUE
"VALTA","Valine transaminase","akg__c + val____L__c <=> glu____L__c + 3mob__c",-1000,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b3770",TRUE
"GLYCTO3","Glycolate oxidase","glyclt__c + mqn8__c --> glx__c + mql8__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b2979 and b4468 and b4467",TRUE
"IPPMIb","2-isopropylmalate hydratase","2ippm__c + h2o__c <=> 3c3hmp__c",-1000,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b0071 and b0072",TRUE
"GLYCTO4","Glycolate oxidase","glyclt__c + 2dmmq8__c --> glx__c + 2dmmql8__c",0,1000,0,"Alternate Carbon Metabolism","core","internal","b2979 and b4468 and b4467",TRUE
"ORPT","Orotate phosphoribosyltransferase","orot5p__c + ppi__c <=> prpp__c + orot__c",-1000,1000,0,"Purine and Pyrimidine Biosynthesis","core","internal","b3642",TRUE
"RBFSa","Riboflavin synthase","4r5au__c + db4p__c --> dmlz__c + pi__c + 2 h2o__c",0,1000,0,"Cofactor and Prosthetic Group Biosynthesis","core","internal","b0415",TRUE
"ACHBS","2-aceto-2-hydroxybutanoate synthase","h__c + 2obut__c + pyr__c --> 2ahbut__c + co2__c",0,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","(b3670 and b3671) or (b0077 and b0078)",TRUE
"PFK_3","Phosphofructokinase (s7p)","atp__c + s7p__c --> h__c + s17bp__c + adp__c",0,1000,0,"Pentose Phosphate Pathway","core","internal","b3916",TRUE
"DHAD2","Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)","23dhmp__c --> h2o__c + 3mop__c",0,1000,0,"Valine, Leucine, and Isoleucine Metabolism","core","internal","b3771",TRUE
